Role of Job,Company Name,Company Location,Type of Work,Description,extracted_skills
"Control Systems Project Engineer - Role located in Montgomery, AL",Thermo Systems LLC.,"Parañaque, Metro Manila",Remote,"career opportunities with thermo systems llc

careers at thermo systems llc

current job opportunities are posted here as they become available.

subscribe to our rss feeds to receive instant updates as new positions become available.

control systems project engineer - role located in montgomery, al


thermo systems is a global, full-service control systems integration partner, delivering world-class automation solutions in the district energy, life sciences, and mission critical markets. our diverse leadership and dedicated engineering team are committed to excellence and consistent growth. our unique company culture, known as “the thermo way,” strengthens our team by fostering an environment where all members perform their best.

our commitment to being unified, dynamic, and delivering excellence is evident in how we build trusting relationships through connection and camaraderie, adapt quickly, and execute with integrity so that every employee, every customer, and the company itself succeeds. these values guide our daily operations and interactions—supporting employee success, customer success, and financial strength as we grow into a world-class organization.

job summary:

as the control system project engineer, you will own the technical delivery and quality oversight of our control system projects in the mission critical data center portfolio. you will:

lead the project-specific quality control plan (qcp), ensuring all standards and processes are effectively implemented on-site.
serve as the full-time quality control (qc) representative—coordinating inspections, managing non-conformances, and executing root-cause analyses.
partner closely with engineering, bim, commissioning, and safety teams to guarantee installations meet approved drawings, submittals, and client expectations.
provide hands-on commissioning, fat oversight, and technical troubleshooting support.
take direction from project leads and company leadership while assuming ultimate responsibility for quality performance and continuous improvement.
education and experience:

bachelor of science in electrical engineering, mechanical engineering, computer science, or related field or equivalent technical experience.
minimum 4 years total experience in control systems engineering.
2+ years in a lead or quality oversight role (e.g., lead control systems engineer, quality manager).
proven track record of successfully managing project quality control plans and commissioning activities.
duties and responsibilities:


technical & quality management:

quality control plan: develop, implement, and maintain the project qcp in alignment with “the thermo way” and client requirements.
on-site qc representation: provide full-time, on-site quality oversight for all shifts—owning inspections, corrective actions, and documentation.

inspections & non-conformance:

perform initial, follow-up, specialty, and final inspections, document findings in acc build.
log non-conformances, deliver root cause analysis reports, and track resolution within priority timelines.
participate in bim clash-detection/resolution meetings, update models per bim execution plan.
serve as qc liaison during commissioning (levels 1–3), coordinating with third-party agents and field teams.
verify materials and installations conform to approved shop drawings and submittals.
oversee monthly as-built deliverables (laser/gps scans) prior to pay applications, ensuring accurate model updates.

documentation & reporting:

archive all qc records—inspection logs, test reports, rcas, and as-built documentation—and make them accessible for audits.
deliver monthly qc performance reports as part of wip forecasting packages.

project engineering & customer service:

lead start-up and commissioning activities; manage fats.
interpret p&ids, wiring diagrams, hmi/plc applications, and instrument specifications.
troubleshoot technical issues in the field; communicate updates proactively to customers and trade partners.
ensure all work is completed safely, on schedule, under budget, and to contractual specifications.

supervisory & cross-functional collaboration:

direct and mentor junior engineers and field technicians on qc processes and best practices.
coordinate quality and safety integration with the subcontractor’s safety representative and project superintendent.
identify risks, propose mitigation plans, and seek opportunities for process improvement and additional services.
required skills and abilities:

deep understanding of quality management systems (qms) and control system integration.
decisive decision-making; strong initiative and relationship-building skills.
excellent communication—able to positively engage customers, colleagues, and trade partners.
proficiency with acc build (or equivalent qc tracking tools), bim coordination, and microsoft office suite.
ability to anticipate issues, manage priorities efficiently, and promote a collaborative team culture.
travel and on call:

travel: overnight travel up to 10% visiting other project sites, commissioning locations, and factory acceptance tests.
on-call: minimal, ot as dictated by project needs

work authorization/other requirements:

proof of eligibility to work in the country where the position is located is required.
maintain a valid drivers license.
fit for duty at all times

culture:

model thermo systems core values of employee success, customer success and financial strength by:

seeking new and additional business through project change orders, additional services to existing customers, and referrals for new customers/projects. drive financial success.
be a good teammate, support your colleagues, promote a positive atmosphere for those around you. drive employee success.
go the extra mile for your customer, take ownership of their needs, over communicate. drive customer success.
foster an environment of integrity, trust, collaboration, professionalism, serving one another, leading by example, and assuming good intent each and every day.

what you'll get:

competitive salary, annual bonuses, 401(k) with company match, and business travel reimbursement: we appreciate our employees, and we make sure they know it.
benefits: we offer full-time employees multiple healthcare packages, including low-cost options.
casual dress: every day is ""casual friday""; we want you to be comfortable when you come to work.
training: we offer in-house and factory technical training to keep our staff sharp.
tuition reimbursement: we encourage academic advancement and professional credentialing.
vacation/sick time: we believe work-life balance is essential. ensuring our employees have time to truly relax and recharge is important to us.
culture & extras: we provide free lunches, regular team bonding & fun office events, and plenty of company swag.

thermo systems provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics.

salary range: $95,000.00 - $120,000.00/annually

#j-18808-ljbffr","['plc', 'sis']"
"Electrical Engineer - Planning & Design, and Protection",AboitizPower,"Davao City, Davao",Remote,"job id: 2963location: davaocompany: hedcor, inc. department: technical servicesemployment type: probationarywork arrangement: on-sitethe electrical engineer - planning & design, and protection is responsible for conceptualizing and designing of protection, automation and control systems as well as monitoring of its implementation. this system should comply and conform to the company's protection philosophy and in accordance with the company’s goals and objectives to develop and operate efficient electrical power systems.

the incumbent is also responsible for simulating and foreseeing protection methods to protect the company’minimum qualificationsbachelor’s degree in electrical engineeringmust be a licensed electrical engineer preferably with experience in analysis & protection of power systems, automation, control and protective relay testing. preferably with experience in handling works related to power system protection, automation and control

preferably, must have at least 3 years’ experience in handling works related to power system protection, automation and control

must have experience in design

must have experience in designing protection systems of substation, switchyard and transmission line.must have know-how in protective relay testing.must be knowledgeable in protection system technical specification.must be knowledgeable on basic protection and coordination

must be knowledgeable on teleprotection, automation and control.can supervise field electrical engineers at site and monitor site activities1 vacant position in astorga, sta. cruz, davao del sur


#j-18808-ljbffr",['sis']
BMS Engineer,"International Elevator & Equipment, Inc.","Muntinlupa, Metro Manila",Remote,"duties and responsibilities:


in charge of creating a functional bms as required by the client

prepares program of the ddc/plc and develops graphical user interface/scada

design system architecture, produce points list based on client's requirements

integrating equipment thru high-level (modbus, bacnet, lonworks, and other)

provides direct assistance to field personnel to resolve electrical issues, testing and commissioning on site, project management, and coordination to client on site

qualifications:


graduate of bs in mechanical/electrical/electronics engineering, preferably licensed by the professional regulation commission

must be able to read or understand mechanical/electrical/plumbing/p&id plans.

full understanding of control for hvac like ahu, fcu, chillers, and others.

in-depth knowledge of electrical wiring diagrams.

must be willing to be assigned at different job sites.

perks:


bonuses (13th and 14th)

anniversary bonus

mid-year bonus

incentives

holiday pay

annual increase

company allowance

transportation allowance

medicine allowance

travel allowance (local and overseas)

vl (15 days) & sl (15 days), emergency leave, wedding leave and birthday leave

hmo, accident and life insurance

separation pay & retirement plan

company loan

opportunities for overseas training

company events, sportsfest

free uniform

free use of gym

free parking","['plc', 'scada', 'modbus', 'sis']"
"Electrical Engineer - Planning & Design, and Protection",AboitizPower,"Davao City, Davao",Remote,"select how often (in days) to receive an alert:electrical engineer - planning & design, and protectionjob id: 2963location: davaocompany: hedcor, inc. department: technical serviceswork arrangement: on-sitethe electrical engineer - planning & design, and protection is responsible for conceptualizing and designing protection, automation, and control systems, as well as monitoring their implementation. this system should comply with the company's protection philosophy and align with the company’s goals to develop and operate efficient electrical power systems.

the incumbent is also responsible for simulating and foreseeing protection methods to safeguard the company's assets. minimum qualifications:bachelor’s degree in electrical engineeringmust be a licensed electrical engineer, preferably with experience in analysis & protection of power systems, automation, control, and protective relay testing. preferably with experience in handling work related to power system protection, automation, and control

at least 3 years’ experience in power system protection, automation, and control

experience in design, especially in designing protection systems for substations, switchyards, and transmission lines

knowledge of protective relay testing and protection system technical specifications

understanding of basic protection, coordination, teleprotection, automation, and control

ability to supervise field electrical engineers and monitor site activities


#j-18808-ljbffr",['sis']
QA Automation Engineer (REMOTE),JoyRide Superapp,"Antipolo, Calabarzon",Remote,"qa automation engineer

we are looking for a qa automation engineer with expertise in mobile application testing to ensure the quality and performance of our mobile apps. you will develop and execute automated test scripts, work closely with developers, and help improve our mobile automation framework.

qualifications:

2+ years of experience in mobile test automation (ios & android).

strong programming skills

experience with api testing and validating mobile app interactions with backend services.

familiarity with mobile debugging tools

hands-on experience with ci/cd for mobile applications.

strong understanding of mobile ui/ux testing principles.

experience working in agile/scrum environments.

familiarity with cloud-based mobile testing platforms, an advantage",[]
Automation & Digitalization Support Engineer,HRTX,"Tarlac City, Central Luzon",Remote,"position: automation and digitalization support engineer
location: north luzon
salary range: php 150,000 to 200,000/month
schedule: monday to friday, day shift

job summary
support the design and development of automation and digitalization systems for a fully automated smart factory in north luzon. this role focuses on evaluating third-party designs, ensuring system integration, and aligning with manufacturing standards.

key responsibilities

work with design partners on automation system planning and implementation
review and recommend solutions based on global automation standards
contribute to system integration and process optimization
provide technical support during the design and build phases

qualifications

background in automation engineering within manufacturing or industrial sectors
experience in greenfield or new plant projects
familiarity with industry 4.0 and smart factory concepts

relocation support
open to candidates from other regions or returning ofws will provide one-time relocation package and monthly relocation allowances

benefits

other competitive benefits
hmo with dependent coverage

employment type: project-based (2 years) with annual project bonuses",[]
Master Control Engineer,GMA Network,"Manila, Metro Manila",Remote,"the master control engineer is responsible for airing programs, commercials, sponsors, and promo plugs and ensures smooth and uninterrupted sequence of on-air broadcast either on automation or manual switching. he/she properly coordinates on-air concerns with clients and technical support groups for the accurate schedule of on-air playlist schedule.

to be successful in this role, candidate should have knowledge in basic broadcast operations and familiarity with tv broadcast equipment and systems, with experience in a related field or should have at least rendered ojt in a broadcast company.

additional requirements are as follows:

should have technical and creative skills, and is computer literate

willing to work extended hours and at different shifts

has ability to work at a fast pace, producing work at the best quality

has good eyesight / unimpaired hearing",[]
"Mid-Level IT Automation Engineer (Powershell, Power Automate) #34510",Manila Recruitment,"Pasig, Metro Manila",Remote,"company profile:

our client is a uk-based company they improve the performance of pigs by combining advanced science with a practical understanding of the biology of the pig and the needs of producers. they select traits that are commercially relevant for producers and fulfill market demands. focus on uncovering or developing technologies that they believe and will help accelerate the rate of genetic gain.

duties & responsibilities:

automation and solution delivery

• design, build, and maintain automation workflows using tools such as powershell, power automate, logic apps, and power apps.

• analyze existing it service processes and identify candidates for automation to reduce ticket volumes, resolution times, and repetitive tasks.

• develop reusable components and automation templates to standardize solutions across teams and services.

• deliver and support robotic process automation (rpa) capabilities where appropriate.

api integration and system connectivity

• develop and maintain secure api integrations between itsm platforms (we use ivanti neurons) and other business systems.

• write and consume rest apis and webhooks to trigger and orchestrate automated actions across platforms.

• ensure all integrations follow best practices for security, scalability, and resilience.

• process improvement and collaboration

• partner with service desk, delivery and platform teams to gather requirements and map processes for automation.

• maintain a backlog of automation initiatives, aligned to business priorities and operational pain points.

• work with business stakeholders to capture metrics and ensure automation benefits are quantified and reported.

platform governance and maintenance

• own the health and lifecycle of the automation toolset, including licensing, change control, and performance monitoring.

• create clear, user-friendly documentation for automations, integrations, and supported workflows.

• apply structured development practices including version control, testing, and release management.

requirements

• 2 years minimum experience in an automation or development role focused on it processes or service management.

• strong proficiency with powershell and demonstrated experience automating itsm processes.

• proven experience developing flows and integrations using power automate, logic apps, or equivalent orchestration platforms.

• solid understanding of rest apis, including authentication methods (oauth2, api keys), json formatting, and error handling.

• experience automating processes within itsm platforms and supporting incident/request workflows.

• familiarity with microsoft 365, azure services, and endpoint management tooling (e.g. intune, autopilot).

advantageous skills:

• hands-on experience building power apps for internal service portals or automation front-ends.

• understanding of ci/cd pipelines and automation development lifecycle best practices.

• familiarity with low-code rpa tools such as uipath or microsoft power automate desktop.

• exposure to scripting in additional languages (e.g. python, javascript) for api or data manipulation tasks.

• itil foundation certification or understanding of service management principles.

expected behaviors:

• outcome-focused - designs solutions that deliver measurable results for users and it teams.

• curious and analytical - uses data and observation to identify patterns and opportunities for optimisation.

• reliable and structured - follows disciplined development and documentation practices.

• collaborative - works across technical and non-technical teams to ensure automation is practical and adopted.

• security-minded - ensures all automation is built with appropriate controls and access management.

benefits

• full-time regular employment with our client’s

locally registered company

• government-mandated benefits such as pagibig, phil health and sss

• 13th month pay guaranteed

• 15 days annual paid vacation leaves

• 15 days annual paid sick leaves

• observance of philippine public holidays

• annual salary increase – every september of the year (company discretion)

• annual incentive (company discretion

• internal trainings and certifications

• hmo with 1 dependent (after regularization) – if they would like to add dependents 50% will be shouldered by the company

• machine / work equipment provided",[]
Cloud Infrastructure Automation Engineer,Accenture,"Manila, Metro Manila",Remote,"the work:

as an application lead, you will oversee the design, construction, and configuration of applications, serving as the main liaison. your typical day will involve leading the team, making critical decisions, and collaborating with various teams to ensure project success.
 
roles & responsibilities: 

expected to be an sme

collaborate and manage the team to perform

responsible for team decisions

engage with multiple teams and contribute on key decisions

provide solutions to problems for their immediate team and across multiple teams

lead the application development process

coordinate with stakeholders to gather requirements

ensure timely delivery of projects

here’s what you’ll need:

required skill: expert proficiency in microsoft azure infrastructure as code (iac)

additional must to have skills:

proficiency in cloud enterprise architecture, microsoft azure administration

strong understanding of cloud computing principles

experience in designing and implementing azure solutions

knowledge of infrastructure automation and deployment

familiarity with devops practices

additional information: 

the candidate should have minimum 3 years of experience in microsoft azure infrastructure as code (iac)

this position is based at our manila office.",[]
"AI and Automation Engineer (Office-based, NOT WFH, NOT Hybrid)",FIT BUSINESS SERVICES INC,"Clark, Central Luzon",Remote,"about the role
we are looking for an experienced ai and automation engineer to lead the automation of our proprietary it platform. your goal is to minimise or remove unnecessary human touches in operational processes, integrate ai into workflows, and deliver measurable efficiency gains across all service lines.

key responsibilities

map current platform processes, identify automation opportunities, and remove operational bottlenecks

design, build, and integrate ai-driven solutions for repetitive and rules-based tasks

develop and deploy nlp functions for customer and internal queries

implement predictive analytics for decision-making and forecasting

integrate third-party apis and tools to expand platform capabilities

establish automated reporting and compliance tracking

monitor ai performance and optimise models for accuracy and efficiency

ensure secure handling of data and compliance with relevant regulations

document processes and train team members on ai-enhanced workflows

continuously identify new automation opportunities and emerging technologies

qualifications

education

bachelor’s degree in computer science, information technology, engineering, or related field

master’s degree in ai, data science, or similar is an advantage

technical skills

strong programming skills in python, javascript/typescript, and sql

proficiency with ai/ml frameworks: tensorflow, pytorch, langchain, openai api

experience with rpa tools: uipath, automation anywhere, blue prism

api integration and workflow automation expertise

familiarity with cloud platforms: aws, azure, google cloud

devops skills: git, docker, kubernetes

knowledge in predictive analytics, nlp, and process mapping

bi tools experience: power bi, tableau, or similar

experience

at least 3–5 years in ai development, automation engineering, or related roles

proven success in saas platform development and process automation

experience in compliance-driven industries is preferred

soft skills

strong problem-solving and analytical thinking

excellent communication and documentation skills

ability to collaborate with cross-functional teams

continuous learning mindset to adapt to emerging ai technologies",[]
Automation QA Engineer,AMCS Group,"Cebu City, Central Visayas",,"sustainability that means business
who we are

sustainability software specialist, amcs, is headquartered in ireland, with offices in europe, usa, canada and australasia. with over 1,300 highly-skilled employees across 22 countries, we specialize in delivering technology solutions to facilitate a carbon neutral future.

what we do

our innovative saas solutions increase efficiency and boost sustainability in resource-intensive industries. over 5,000 customers across 23 countries already benefit from our performance sustainability software, ensuring we deliver practical solutions for improved profitability and environmental resilience across the globe.

our people

amcs offers team members more than just a job, but an opportunity to map out a career with a company that is growing, evolving and setting out new ways of working that are having a positive impact on the world around us.amcs was established in ireland and holds onto those local roots and ‘start-up’ mentality with a culture of connection.connection to our work, our customers, our colleagues and our community that creates a working environment that fosters openness, collaboration and creativity.

key responsibilities

design, implementation and execution of both automated and manual test plans for amcs customer solutions

work as part of a scrum / agile team.

creation of test strategies in order to ensure successful project acceptance

interfacing with project managers, product owners, business analysts and engineering teams to deliver quality solutions in the emea region.

documenting and tracking bugs.

reporting progress of testing activities to the scrum master/team lead.

creation and maintenance of project focused dashboards on our bug tracking system.

building test frameworks and methodologies that will define the testing processes used as part of the software development process.

key skills/qualifications

5-6 years extensive work experience in automation testing usingrecent automation tools ( c#,nunit, postman api automation, cypress, typescript, reqnroll) and scripting language.

experience in ci/cd process and good knowledge in azure pipeline, test plan and build & release process

be part of a scrum team – understand the requirements (feature, user story, bug) and ability design automation test script for regression , end2end, technical knowledge sharing and script development

ability to design and execute automated performance tests to ensure applications meet performance criteria.

ability to create and maintain comprehensive documentation for the test automation framework, scripts, and processes.

work with cross-functional teams to develop automation scripts

support automation execution during release testing

experience in sql will be added advantage

join our mission for a sustainable future and enjoy these benefits:

health insurance for you and up to three dependents from day 1

hybrid work setup

convenient shuttle service

complimentary on-site food and coffee

allowances

25 days of leave

access to a learning platform for skill training with progress tracking

#li-ja1

#j-18808-ljbffr",[]
CALIBRATION & AUTOMATION SUPERVISOR,Axelum Resources Corp.,"Misamis Oriental, Northern Mindanao",Remote,"about the role:

axelum resources corp. is seeking a highly skilled and experienced calibration & automation supervisor to join our team in misamis oriental, northern mindanao. as a full-time role, this position is crucial in ensuring the smooth operation and performance of our state-of-the-art equipment and systems. you will be responsible for overseeing the calibration process, automating workflows, and driving continuous improvement initiatives to enhance our productivity and efficiency.

what you'll be doing:

developing and implementing comprehensive calibration programmes for all critical equipment and instruments.

automating manual processes and streamlining workflows to increase productivity and reduce human error.

providing technical support and troubleshooting to ensure the optimal performance of our automation systems.

conducting regular maintenance and inspections to identify and address any issues proactively.

collaborating with cross-functional teams to identify opportunities for process improvements and automation.

maintaining detailed records and documentation of all calibration and automation activities.

ensuring compliance with all relevant industry standards, regulations, and internal policies.

mentoring and training junior team members to develop their skills and expertise.

what we're looking for:

proven experience as a calibration & automation supervisor or a similar role in a manufacturing or production environment.

extensive knowledge of calibration principles, procedures, and industry standards.

proficiency in automation technologies, including plc programming, scada systems, and control systems.

strong problem-solving and troubleshooting skills, with the ability to quickly identify and resolve issues.

excellent analytical and critical thinking skills to optimise processes and identify areas for improvement.

effective communication and interpersonal skills to collaborate with cross-functional teams.

commitment to maintaining a safe and compliant work environment.

what we offer:

at axelum resources corp., we are dedicated to providing a supportive and rewarding work environment for our employees. in addition to a competitive salary, we offer a comprehensive benefits package, including health insurance, retirement plans, and opportunities for professional development. our company culture encourages collaboration, innovation, and work-life balance, making us an employer of choice in the industry.

if you are passionate about driving excellence through calibration and automation, we encourage you to apply for this exciting opportunity. join our team and be part of our continued success.

apply now","['plc', 'scada', 'c programming']"
Electrical Engineer for Planning and Design and Protection,Aboitiz Renewables,"Davao del Sur, Davao",Remote,"the electrical engineer - planning & design, and protection is responsible for conceptualizing and designing of protection, automation and control systems as well as monitoring of its implementation. this system should comply and conform to the company's protection philosophy and in accordance with the company’s goals and objectives to develop and operate efficient electrical power systems. the incumbent is also responsible for simulating and foreseeing protection methods to protect the company’s electrical system assets during abnormal and fault conditions on the system; and for providing technical assistance

conducts power system fault analysis using simulation software tools to anticipate abnormal/fault system conditions, potential problems and determine possible solutions to protect the system. conceptualizes & designs protection systems for new and expansion projects. this includes, protection one-line and schematic diagrams and trip/alarm matrix and inputs/outputs assignments.

prepares protection settings (engineering & logic) that adequately protect the system components during abnormal and fault conditions. make coordination studies if necessary. performs relay setting laboratory simulation.

recalculates settings based on results of simulation testing. evaluates pre-wired protection and control diagrams for outsourced projects. coordinates approved design on protection and control scheme with project engineers assigned to each project.

monitors projects by conducting site inspection, testing and audits to ensure compliance to design and specifications. reviews updates from the implementing team. provides technical specifications to purchasing, e.g. proper specifications of relays, cts, breakers, pts, etc. to enable them to procure the exact equipment and materials needed by the group.

conducts protection system audit & review for existing plants. maintains and reviews relay settings and coordination, internally and external customer

maintains relay setting database and protection diagrams.develops and updates protection philosophy, code and guidelines.prepares protection development plan.conceptualizes and designs automation and tele-protection systems.prepares tele-protection and control schematic diagrams.prepares tele-protection system requirements.prepares device automation programming and logic settings

maintains database of device automation and control design and diagrams.recommend network device automation projects.provides resolution to protection and supervisory control and data acquisition/control systems problems and troubleshooting

complies with company policies and procedures, safety rules and practices. conforms to the company’s integrated management systems, policies, standards, procedures and guidelines. reports any integrated management system events/incidents or potential events or other risks to the organization.

protects information assets from unauthorized access, disclosure, modification, destruction or interference by:ensuring the confidentiality of all data, information and other matters which are private, sensitive or confidential in nature or the exposure of which to other employees, persons, entities or organizations constitutes conflict of interest with and/or poses liability or damage to the company. performs any other related duties and responsibilities that may be assigned from time to time by immediate superior consistent with the purpose of this role. minimum qualificationsbachelor’s degree in electrical engineeringmust be a licensed electrical engineerpreferably with experience in analysis & protection of power systems, automation, control and protective relay testing.

preferably with experience in handling works related to power system protection, automation and control

with preference if:must have at least 3 years’ experience in handling works related to power system protection, automation and control

must have experience in designing protection systems of substation, switchyard and transmission line.must have know-how in protective relay testing.must be knowledgeable in protection system technical specification.must be knowledgeable on basic protection and coordination

must be knowledgeable on teleprotection, automation and control.can supervise field electrical engineers at site and monitor site activities1 vacant position in astorga, sta. cruz, davao del sur


#j-18808-ljbffr","['supervisory control and data acquisition', 'sis']"
Electrical Engineer for Planning and Design and Protection,Aboitiz Renewables,"Davao del Sur, Davao",,"the electrical engineer - planning & design, and protection is responsible for conceptualizing and designing of protection, automation and control systems as well as monitoring of its implementation. this system should comply and conform to the company's protection philosophy and in accordance with the company’s goals and objectives to develop and operate efficient electrical power systems. the incumbent is also responsible for simulating and foreseeing protection methods to protect the company’s electrical system assets during abnormal and fault conditions on the system; and for providing technical assistance

conducts power system fault analysis using simulation software tools to anticipate abnormal/fault system conditions, potential problems and determine possible solutions to protect the system. conceptualizes & designs protection systems for new and expansion projects. this includes, protection one-line and schematic diagrams and trip/alarm matrix and inputs/outputs assignments.

prepares protection settings (engineering & logic) that adequately protect the system components during abnormal and fault conditions. make coordination studies if necessary. performs relay setting laboratory simulation.

recalculates settings based on results of simulation testing. evaluates pre-wired protection and control diagrams for outsourced projects. coordinates approved design on protection and control scheme with project engineers assigned to each project.

monitors projects by conducting site inspection, testing and audits to ensure compliance to design and specifications. reviews updates from the implementing team. provides technical specifications to purchasing, e.g. proper specifications of relays, cts, breakers, pts, etc. to enable them to procure the exact equipment and materials needed by the group.

conducts protection system audit & review for existing plants. maintains and reviews relay settings and coordination, internally and external customer

maintains relay setting database and protection diagrams.develops and updates protection philosophy, code and guidelines.prepares protection development plan.conceptualizes and designs automation and tele-protection systems.prepares tele-protection and control schematic diagrams.prepares tele-protection system requirements.prepares device automation programming and logic settings

maintains database of device automation and control design and diagrams.recommend network device automation projects.provides resolution to protection and supervisory control and data acquisition/control systems problems and troubleshooting

complies with company policies and procedures, safety rules and practices. conforms to the company’s integrated management systems, policies, standards, procedures and guidelines. reports any integrated management system events/incidents or potential events or other risks to the organization.

protects information assets from unauthorized access, disclosure, modification, destruction or interference by:ensuring the confidentiality of all data, information and other matters which are private, sensitive or confidential in nature or the exposure of which to other employees, persons, entities or organizations constitutes conflict of interest with and/or poses liability or damage to the company. performs any other related duties and responsibilities that may be assigned from time to time by immediate superior consistent with the purpose of this role. minimum qualificationsbachelor’s degree in electrical engineeringmust be a licensed electrical engineerpreferably with experience in analysis & protection of power systems, automation, control and protective relay testing.

preferably with experience in handling works related to power system protection, automation and control

with preference if:must have at least 3 years’ experience in handling works related to power system protection, automation and control

must have experience in designing protection systems of substation, switchyard and transmission line.must have know-how in protective relay testing.must be knowledgeable in protection system technical specification.must be knowledgeable on basic protection and coordination

must be knowledgeable on teleprotection, automation and control.can supervise field electrical engineers at site and monitor site activities1 vacant position in astorga, sta. cruz, davao del sur


#j-18808-ljbffr","['supervisory control and data acquisition', 'sis']"
Lead Control Systems Engineer,Thermo Systems LLC.,"Parañaque, Metro Manila",,"career opportunities with thermo systems llc

careers at thermo systems llc

current job opportunities are posted here as they become available.

subscribe to our rss feeds to receive instant updates as new positions become available.

thermo systems is a global, full-service control systems integration partner, delivering world-class automation solutions in the district energy, life sciences, and mission critical markets. our diverse leadership and dedicated engineering team are committed to excellence and consistent growth. our unique company culture, known as ""the thermo way,"" strengthens our team by fostering an environment where all members perform their best.

our commitment to being unified, dynamic, and delivering excellence is evident in how we build trusting relationships through connection and camaraderie, ability to adapt, and focus on integrity and success. these values guide our daily operations and interactions, setting the standard for our team's behavior. as we continue to grow and evolve, ""the thermo way"" supports our goals of becoming a world-class organization, ensuring employee success, customer success, and financial strength.

job summary:

works on control system projects; leads in hardware and software design, development, integration, testing, and installation support. listens, takes direction, and seeks guidance from the assigned project leads, the supervisors, and company leadership.

education and experience:

bachelor of science; electrical engineering, mechanical engineering, computer science, or other pertinent curriculum combined with relevant technical experience.
typically 2+ years total experience.
proven track record: 1-3 years as control system engineer or equivalent.

duties and responsibilities:

technical responsibilities:

displays electrical and mechanical system troubleshooting skills.
demonstrate self-sufficiency in the field.
demonstrate the ability to lead other project members during installation, start-up, and commissioning.
lead and perform factory acceptance tests (fat).
read and interpret piping & instrumentation diagrams and wiring diagrams.
exhibit full understanding of human-machine interface (hmi) and programmable logic controller (plc) applications.
well versed in the company’s quality management system (qms).
provide review of standard documents generated by others for technical, grammatical, and aesthetic content.
demonstrate the ability to perform intermediate control system design with guidance from others.
provide instrumentation specifications for basic control systems.
demonstrate an understanding of information technology (it) system, network infrastructure, and computer system design, as it relates to control system integration.

customer service:

communicate in an effective, positive, and proactive manner with customers.
follow customer specific site standards and procedures.
always conduct business in professional manner.
provide excellent customer care and support.
be patient, attentive, and responsive to customers in solving their problems.
always follow up and honor commitments with customers.
develops an understanding of the customer needs and actively seeks to service those needs.
complete assigned tasks accurately, on schedule, and under budget.

project responsibilities:

understand the scope of work assigned to you, identify when issues arise that are beyond that scope, and communicate those issues to the assigned project lead.
lead individual project related tasks and/or small to mid-sized projects in their entirety.
provides accurate feedback on status of assigned tasks.
demonstrates an awareness of project contracts and specifications.

required skills and abilities:

in addition to control system engineer skills and abilities:
effectively communicates with co-workers.
strategically thinks and leverages knowledge to solve problems.
able to be independently effective and takes personal responsibility.
manage time efficiently.
promotes a positive/collaborative team culture.
overnight travel may be required up to 50%

on call:

on call rotation participation may be required based on location and client needs.

work authorization/other requirements:

proof of eligibility to work in the country where the position is located is required.
maintain a valid drivers license.
fit for duty at all times

culture:

model thermo systems core values of employee success, customer success and financial strength by:

seeking new and additional business through project change orders, additional services to existing customers, and referrals for new customers/projects. drive financial success.
be a good teammate, support your colleagues, promote a positive atmosphere for those around you. drive employee success.
go the extra mile for your customer, take ownership of their needs, over communicate. drive customer success.
foster an environment of integrity, trust, collaboration, professionalism, serving one another, leading by example, and assuming good intent each and every day.

what you'll get:

competitive salary, annual bonuses, 401(k) with company match, and business travel reimbursement: we appreciate our employees, and we make sure they know it.
benefits: we offer full-time employees multiple healthcare packages, including low-cost options.
casual dress: every day is ""casual friday""; we want you to be comfortable when you come to work.
training: we offer in-house and factory technical training to keep our staff sharp.
tuition reimbursement: we encourage academic advancement and professional credentialing.
vacation/sick time: we believe work-life balance is essential. ensuring our employees have time to truly relax and recharge is important to us.
culture & extras: we provide free lunches, regular team bonding & fun office events, and plenty of company swag.

thermo systems provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics.

salary range: $75,000.00 - $90,000.00/annually

#j-18808-ljbffr","['plc', 'programmable logic controller', 'sis']"
Programmable Logic Controller,"BENSAN INDUSTRIES,INC.","Pampanga, Central Luzon",,"at least 2 years of working experience
job responsibilities - develop and write plc programs for industrial automation, ensuring precise control and efficient operation
• utilize programming languages such as ladder diagram, function block diagram, etc.
• integrate plc programs with human-machine interface (hmi) systems, sensors, actuators, and other control devices
• testing plc/hmi programs to identify and resolve any issues or anomalies
• debug and troubleshoot plc/hmi logic to ensure reliable performance
• create detailed documentation for plc programs, including ladder program, wiring diagrams, etc.,
• right and modified new existing omron program.
• wiring omron plc /hmi together with input/output devices and troubleshooting existing omron.
location site: san fernanado, pampanga
we offer high salary",['plc']
