Role of Job,Company Name,Company Location,Type of Work,Description,extracted_skills
SITE ELECTRICAL/COMMISSIONING ENGINEER,SHSY Electric Power Corporation,Northern Mindanao,,"site electrical engineer

design, control, and implement electrical systems and products
develop manufacturing processes according to global engineering codes and standards
manage engineering projects and deliver them on time
evaluating systems’ safety, reliability, and performance
define customer needs and requirements
ensure that installations and applications are in line with customer needs and safety standards.
collaborate with engineers and technicians to design and apply new system processes
perform quality and performance analysis on new and legacy it systems
summarize data and report on test results
examine needs on new equipment, calculate costs and help prepare budgets
monitor maintenance and inspection plans
perform task that may be assigned from time to time

not required but there is advantage if you worked at ngcp

electrical commissioning engineer

• workingof  various electrical systems including transformer, hv breaker, disconnect switches, ct/vt, communication equipment, protection & control equipment, uninterruptable power supplies system, dc power system. equipment proficient in various trouble shooting skills;

• effective verbal and written english language communication skills ensuing effective report writing skills;

• comfortable to communicate, with the ability to influence, with personnel of all levels whilst working in a remote and multi-cultured environment; modification and testing for all electrical equipment such as transformers, hv/mv/lv equipment, protection panel, and other services-related testing equipment

testing of all types of advanced protection relays, transformer’s-line, hv/mv/lv equipment, protection panels and other services-related activities.

good command of omicron test equipment is preferred. for example, cpc100, cmc356, testrano 600

implementing  a testing and commissioning plan, method statements, testing and commissioning procedures, data sheets, testing criteria, testing and commissioning reports and/or validate or invalidate testing and commissioning results for this discipline.

-complete understanding of codes and standards regarding testing and commissioning requirements for cabling, earthing/grounding, hv/mv/lv electrical distribution systems and panels, transformers, ups systems, automatic transfer switches (ats), batteries and charging systems, overcurrent protection devices, metering and relaying, power monitoring systems and other related electrical/mechanical systems, controls and devices.

electrical commissioning technician

to check installation of systems and equipment before commissioning to make sure the installation is done properly and safe to work with.

to assist vendors and commissioning engineers during commissioning and related modifications.

to assist and arrange temporaries required for commissioning as per instructions.

to trouble shoot and modify equipment and systems whenever instructed.

comply with yard’s safety quality standards and lead the team of technicians and guide them in day to day activities.

disconnection, modification and removal of the existing cables, electrical control panels, light fittings/hoses and other electrical /mechanical equipment / components as applicable

to work on live equipment in case it is unavoidable meeting all safety procedures under close supervision

to prepare equipment and system for commissioning under the instructions and guidance of commissioning engineers or foremen

to do watch keeping and recording parameters of the equipment being commissioned /operating

able to use all test equipment and measuring instruments following the instruction from foreman and ensure that all jobs completed are in accordance with all standard procedures and safe working practices

to do isolations and energizations understanding the scope as per instruction received from commissioning engineer

to do cold and hot loop checks as per procedures and prove integrity of installations before commissioning

to do operations of equipment/instrument during commissioning till hand over under the guidance and instructions of commissioning engineer

perform other job related duties as assigned by the department head

ability to read, interpret and follow method statements and procedures, specifications, drawings, and other discipline related project and engineering documentation.",['sis']
Semiconductor Implant Equipment Engineer,Renesas,"Bay, Calabarzon",,"


job description

renesas electronics is looking for a skilled professional to fill the role of equipment engineer supporting ion implant in its manufacturing facility in palm bay, florida. the successful candidate will be a self-starter with excellent project and communication skills. this position offers professional development opportunities working for a leader in the design and manufacture of high-performance analog semiconductors. if you are qualified and interested we invite you to apply.

essential job responsibilities:

· owner/subject matter expert for assigned equipment.

· monitor and improve equipment performance. i.e. availability, throughput, line yield, and cost of ownership.

· generate and update tool maintenance specifications as needed.

· assist and train (hands-on) technicians as needed.  

· troubleshoot and diagnose complex equipment problems; define and implement solutions.

· design, test, and implement equipment improvements and modifications.

· identify and evaluate second source parts suppliers; address parts obsolescence issues.

· assist with equipment purchases, installations, relocations, and qualification.

qualifications

education requirements:

· bs or equivalent in appropriate engineering discipline.   

qualified work experience, training, or military training and service in the proper engineering area may be substituted for the formal education requirement.

experience requirements:

· 5 or more years of semiconductor experience in equipment engineering, ion implant expertise required.

additional experience (required):

experience supporting the following implanters, amat 9500xr, varian e220/e500, or equivalent.
excellent mechanical and electronic skills.
strong problem-solving capabilities.

additional experience (preferred):

· past experience supporting the following implanters, amat 9500xr, varian e220/e500, or equivalent.

· previous experience as an oem field service engineer a plus.

additional experience (desired):

experience supporting thin films equipment, amat 5500 endura, novellus c1, varian 3xxx, wj999r, amat p5000/p5200, or equivalent.

additional information

this position is on a compressed work week, 12-hour shifts, 3 days on 7am - 7pm one week, and the next week 4 days on and 3 days off.

competitive benefits package include:

medical, dental, vision insurance from day one
3 weeks of vacation per year
13 paid holidays per year
generous 401k plan that includes employer matching up to 6%
tuition reimbursement
life insurance and disability coverage

renesas is an embedded semiconductor solution provider driven by its purpose ‘to make our lives easier.’ as the industry’s leading expert in embedded processing with unmatched quality and system-level know-how, we have evolved to provide scalable and comprehensive semiconductor solutions for automotive, industrial, infrastructure, and iot industries based on the broadest product portfolio, including high performance computing, embedded processing, analog & connectivity, and power.
 
with a diverse team of over 22,000 professionals in more than 30 countries, we continue to expand our boundaries to offer enhanced user experiences through digitalization and usher into a new era of innovation. we design and develop sustainable, power-efficient solutions today that help people and communities thrive tomorrow, ‘to make our lives easier.’     
 
at renesas, you can: 

launch and advance your career in technical and business roles across four product groups and various corporate functions. you will have the opportunities to explore our hardware and software capabilities and try new things.  
make a real impact by developing innovative products and solutions to meet our global customers' evolving needs and help make people’s lives easier, safe and secure. 
maximize your performance and wellbeing in our flexible and inclusive work environment. our people-first culture and global support system, including the remote work option and employee resource groups, will help you excel from the first day.    

are you ready to own your success and make your mark?  

join renesas. shape your future with us.  

renesas electronics is an equal opportunity and affirmative action employer, committed to celebrating diversity and fostering a work environment free of discrimination on the basis of sex, race, religion, national origin, gender, gender identity, gender expression, age, sexual orientation, military status, veteran status, or any other basis protected by federal, state or local law. for more information, please read our diversity & inclusion statement.

renesas electronics deals with dual-use technology that is subject to u.s. export controls regulations. under these regulations it may be necessary for renesas to obtain u.s. government export license prior to release of technology to certain persons. the decision whether or not to file or pursue an export license application is at the sole discretion of renesas.",['sis']
Automation Solutions and Delivery Lead,HRTX,"Manila, Metro Manila",,"key accountabilities: 1. automation center of excellence (coe) execution lead the operational and strategic execution of the automation coe. drives strategic decision-making for selecting the optimal automation framework

balancing speed, flexibility, scalability, and total cost of ownership.

oversee the day-to-day management and operational maturity of the automation coe. define and enforce automation development standards, solution design principles, and best practices. monitor industry trends to recommend new automation technologies and practices.

2. team leadership and talent development manage a team of automation developers and technical business analysts. provide technical guidance, mentorship, performance management, and career development pathways for the team. foster a high-performance culture focused on quality, speed, and innovation.

3. automation pipeline management and delivery collaborate with division-level automation pocs to build, assess, and maintain a robust pipeline of automation opportunities. ensure projects are delivered on time, within scope, and achieve intended business outcomes. maintain an automation backlog and facilitate governance reviews for pipeline prioritization.

4. solution development and implementation oversight ensure best practices in solution architecture, reusable component design, and automation development. implement agile delivery principles to manage project sprints, demos, retrospectives, and releases. manage project risks, testing cycles, and post-deployment support protocols.

5. stakeholder engagement and value realization act as the main delivery partner for automation engagements, communicating clearly with business stakeholders about project status, risks, and outcomes. collaborate with the opex partners to embed automation into broader business transformation initiatives. lead regular governance sessions, value tracking, resource utilization and performance reporting for automation initiatives.

6. collaboration with the opex director and data science lead partner with the data science lead to explore opportunities for ai integration into automation solutions (e.g., intelligent bots, predictive workflows). collaborate with the opex director to align automation projects with broader digital transformation goals. core competencies: automation solutioning expertise extensive background in rpa, intelligent automation, and workflow automation technologies.

people leadership strong track record in leading technical teams (developers and technical bas) toward successful delivery. delivery management skilled in agile project management, sprint planning, and operational governance for automation programs. cross-functional collaboration

works across business, technical, and transformation teams to drive integrated outcomes. innovation and scalability continuously seeks opportunities to scale automation impact and leverage emerging technologies. qualification bachelor's degree in engineering, technology, computer science, business, or related field (masters preferred) minimum 7-9 years of relevant experience, including at least 3-5 years leading automation solution delivery teams strong, hands-on experience in python programming for automation scripting, custom solution development, and api integrations

working experience with low-code/no-code automation platforms (e.g., uipath, power platform, etc.) for rapid delivery of appropriate use cases solid understanding of web development fundamentals (html, css, javascript,rest apis) to support custom automation and web integrations ability to assess automation requirements and determine the best-fit approach (lowcode vs. full-stack development) based on complexity, scalability, and maintainability familiarity with intelligent document processing (idp), ocr, low-code platform integrations, and hybrid automation architectures experience managing technical developers (both rpa developers and softwareengineers) and technical bas preferred certifications:

python programming certifications (pcep, pcap) or equivalent practical experience
uipath advanced rpa developer, microsoft power platform certification (preferred but not mandatory)
agile scrum master or product owner certification
lean six sigma green belt (optional) w #j-18808-ljbffr",[]
"WordPress & API Automation Developer (WooCommerce, 3+ yrs exp)","Hi, Neon","Cebu, Central Visayas",,"wordpress & api automation developer (woocommerce, 3+ yrs exp)wordpress & api automation developer (woocommerce, 3+ yrs exp)get ai-powered advice on this job and more exclusive features. direct message the job poster from hineon custom neon signs - led neon lightsnova signage is a leading provider of innovative signage solutions for sign and printing shops across north america. our website serves as a b2b member login portal where we offer custom signage products and services designed to enhance visibility and efficiency for our clients.

we are looking for a senior full stack web developer to join our team. this is a remote, part-time position (starting at 20 hours/week) with the potential to transition to full-time after 9 months. responsibilities:develop and maintain a woocommerce store, including writing custom child themes following ui designs.

enhance user experience by developing custom web features and building new wordpress plugins. optimize web pages for maximum speed, scalability, and seo.integrate and connect web applications (such as zendesk, shipstation, trello) with apis to streamline workflows. automate organizational processes by building ai-powered integrations and automating tasks across departments.

troubleshoot website issues, ensuring smooth functionality and user experience. qualifications:bachelor’s degree in computer science or a similar field.4+ years of experience as a wordpress developer, with at least 2 years working with woocommerce. understanding of wordpress architecture, mysql, and strong back-end php development skills.

experience with debugging tools such as chrome inspector and firebug. familiarity with ux and mobile development best practices. fluent in spoken and written english.

ability to commit to at least 20 hours per week. good to have:experience with ai-powered automation tools or integrations (e.g., api-driven automation, task automation frameworks).

hands-on experience with automation platforms or integration tools. how we

work:we offer a highly entrepreneurial, fast-paced, and operational work environment. we prioritize action over discussion, and we value radical open-mindedness and a growth-oriented mindset. feedback is given openly and regularly to encourage continuous improvement.

compensationmonthly 30,000-40,000 php, depending on experience (20 hrs/week)how to apply

please send your application through this form:this is the only way to get shortlisted. please do not contact us through other channels.seniority level

seniority level

mid-senior level

employment type

employment type

part-time

job function

job function

quality assuranceindustrieselectric lighting equipment manufacturingreferrals increase your chances of interviewing at hineon custom neon signs - led neon lights by 2xsign in to set job alerts for “automation developer” roles.cebu, central visayas, philippines 4 weeks ago

cebu, central visayas, philippines 3 weeks agoqa automation engineer (mobile testing) (remote)cebu, central visayas, philippines 2 weeks agoqa automation engineer (mobile testing) (remote)cebu, central visayas, philippines 2 weeks ago

cebu, central visayas, philippines 1 month ago

cebu, central visayas, philippines 3 weeks ago

cebu, central visayas, philippines 3 weeks ago

cebu, central visayas, philippines 2 weeks ago

cebu, central visayas, philippines 1 month ago

cebu, central visayas, philippines 3 weeks ago

cebu, central visayas, philippines 3 weeks ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr",[]
Senior Operations Engineer,Maya Bank,"Manila, Metro Manila",,"technical operations engineer 

core profile

the technical operations engineer is tasked to monitor, maintain & support the various system & services of maya. the engineer is expected to detect incidents & resolve incidents with the least amount of time. the engineer should be able to communicate effectively with internal & external customers. the engineer should be able to help improve the process & handling by way of automation & software development.

nature of work

24x7 (12x4) shifting schedule
investigate & resolve incidents & escalations or fulfill requests
communicate service interruption / degradation or system maintenances to internal & external customers
assess & support production changes 
develop custom service checks & detect system & service problem & anomaly
analyze the system & be able to arrest errors, address gaps & improve its resiliency
build custom dashboards & reduce overhead to operations
collaborate effectively with other business units   

required qualifications

bachelor’s degree in computer science
at least 2 years of experience in it operations & service management
experience in splunk searching is an advantage
at least 1 year experience in managing cloud infrastructure
at least 1 year experienced in automation & software development
knowledge in linux, it security & pcidss",[]
Test Automation Engineer,Macquarie Group,"Manila, Metro Manila",,"join our equity derivatives and trading technology quality assurance team, where you will automate and enhance our current framework and support functional and regression testing for every sprint.

at macquarie, our advantage is bringing together diverse people and empowering them to shape all kinds of possibilities. we are a global financial services group operating in 34 markets and with 55 years of unbroken profitability. you’ll be part of a friendly and supportive team where everyone - no matter what role - contributes ideas and drives outcomes.

what role will you play?


working closely with our test automation and global development teams, you will analyse and build a comprehensive test automation suite (functional, component, regression and performance tests) and follow the test plan / schedule in building test scripts, executing test scripts and reporting and documenting test results.

you will also work on the continuous integration framework for the automation suite, assess compatibility with cloud-based infrastructure and ensure delivery of the software to its highest standards.

what you offer

3 years of experience in software application testing
excellent verbal and written communication skills
ability to navigate through vague specifications and requirements and coordinate and engage relevant stakeholders to obtain clarity on expectations
fast learner, critical thinker and able to work under time pressure
knowledge on ui automation (selenium and database automation with java / python, robot framework), java, sql, unix, cucumber, rest api automation testing via rest assured / robot framework or any other tool technology is an advantage.

we love hearing from anyone inspired to build a better future with us, if you're excited about the role or working at macquarie we encourage you to apply.

about technology


technology enables every aspect of macquarie, for our people, our customers and our communities. we’re a global team that is passionate about accelerating the digital enterprise, connecting people and data, building platforms and applications and designing tomorrow’s technology solutions.

our commitment to diversity, equity and inclusion


we are committed to fostering a diverse, equitable and inclusive workplace. we encourage people from all backgrounds to apply and welcome all identities, including race, ethnicity, cultural identity, nationality, gender (including gender identity or expression), age, sexual orientation, marital or partnership status, parental, caregiving or family status, neurodiversity, religion or belief, disability, or socio-economic background. we welcome further discussions on how you can feel included and belong at macquarie as you progress through our recruitment process.

our aim is to provide reasonable adjustments to individuals who may need support during the recruitment process and through working arrangements. if you require additional assistance, please let us know in the application process.

#j-18808-ljbffr",['sis']
QA Automation Engineer (AltTester),Pointwest,"Quezon City, Metro Manila",,"as aqa automation engineerat pointwest, you will be instrumental in ensuring software quality through robust automated testing frameworks. you’ll work closely with cross-functional teams to build, execute, and optimize test automation that supports the continuous delivery of high-quality healthcare solutions. this role supports our commitment to

leadership,excellence, and

innovation, and embodies our culture of

agility,accountability,innovation,collaboration, and

customer centricity.

key responsibilities

client focus: ensure high test coverage and reliability to support client satisfaction and regulatory compliance.

test automation: design, build, and maintain reusable test automation scripts using tools like alttester, selenium, and jenkins.

framework development: develop and optimize automation frameworks for web, desktop, and database testing.

collaboration: work with developers, product managers, and qa peers to identify risks, troubleshoot issues, and ensure quality delivery.

continuous improvement: recommend and implement improvements to tools, processes, and test strategies.

mentorship & learning: mentor team members in qa best practices and stay updated on the latest testing tools and methodologies.

success metrics

defect leakage rate and client-reported issues

test coverage and automation rate

regression test execution time

reusability and maintainability of test scripts

contribution to internal knowledge-sharing or enablement sessions

completion of certifications or training programs

qualifications

bachelor’s degree in computer science, mis, math, or a related technical field

5+ years of experience in qa, test automation, and agile development

hands-on experience with:

automation tools: alttester, selenium, testng, junit

programming: java, c#, python, javascript

ci/cd tools: jenkins, git, docker

test management: jira, alm

platforms: unity, desktop, and web applications

strong knowledge of quality standards (iso 9001, iso 25010) is a plus

qa or cybersecurity certifications are a plus

why join pointwest?

at pointwest, you’re not just taking on a role — you’re joining a purpose-driven tech company that believes in transforming lives through digital innovation. you’ll grow in a collaborative environment that encourages continuous learning and leadership at all levels.

ready to build quality with purpose? apply now and be part of a team that puts people and performance first.

#j-18808-ljbffr",[]
Applications Engineer,Aggreko,"Manila, Metro Manila",,"at aggreko, we provide energy solutions so communities can thrive and businesses can grow. we bring power, heat and cooling to customers and communities wherever they need it.

we are hiring immediately an applications engineer - a role that will help us to power progress for our customers.

job description:
the applications engineer role applies engineering principles to uncover process enhancement opportunities, design projects utilizing aggreko fleet equipment and help deliver successful value propositions to our clients.
 

responsibilities

develop process design recommendations considering cost, available space, time limitations, technical requirements, company planning, and economic factors.
obtain and analyze technical data to qualify relevant process systems opportunities.
use engineering first-principals, computer assisted engineering and design software to perform engineering tasks.
provide technical information, internally and externally, concerning process applications, materials, properties, and process advantages and limitations.
work alongside sales teammates to assist in delivering process design proposals.
travel to support process studies, process design, and project execution at customer sites.
participation in industry events and publications to keep up to date with market, technology & regulatory trends
 

what we’re looking for

bachelor’s degree in engineering from an accredited university.
5+ years of relevant work experience.
broad understanding of the petrochemical and/or refining industry.
broad understanding of engineering thermodynamics, fluid flow, and complex heat transfer systems.
demonstrated ability to drive project execution through conceptual and detailed design.
proficiency in process simulators (i.e. hysys, vmgsim, htri suite of heat transfer software)
pc literacy in a microsoft or erp system environment.
proficiency in autocad an advantage.
professional engineering license an advantage

​

equity, diversity and inclusion at aggreko

we welcome people from different backgrounds and cultures, and respect people’s unique skills, attitudes and experiences. we encourage everyone to be themselves at work because we know that’s how we do our best, for each other, for our customers, for the communities where we work, and for our careers.

we are an equal opportunity employer. if you apply for a role at aggreko, we will consider your application based on your qualifications and experience, and not on your race, colour, ethnicity, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.",['sis']
Robotic Process Automation Developer Hybrid,"iRhythm Technologies, Inc.","Manila, Metro Manila",,"robotic process automation developer hybridrobotic process automation developer hybrid2 days ago be among the first 25 applicantsi

rhythm technologies, inc. is looking for a robotic process automation (rpa) developer to support the quality team. the rpa developer will be responsible for the creation, design, development and implementation of robotic process automation. the rpa developer will work closely with stakeholders including the process owner, process subject matter experts, project manager, quality systems manager, validation quality engineers, and it resources.

our work environment is a fast-paced atmosphere, fostering excellent cross-functional collaboration. most of all, we are passionate about delivering innovations that improve the quality of health care and the patient experience. we are looking for like-minded individuals who are quality driven and patient focused to join our team!

responsibilities:understand business requirements, check feasibility of automating the requirements, provides time estimates in implementing the requirements. designs, codes, and maintains robotic process automation solutions, using uipath software. prepares and ensure completion of documentation associated with the automations (solutions design documents, technical design documents, work instructions, testing protocols, etc.).

monitors performance of bots, and resolves issues if there are any

creates weekly and/or monthly performance reports

supports the prioritization of automation projects and manages project pipeline

provides suggestions for improvements on process and rpa tools

participates in process improvement initiatives that involves automation

other duties and responsibilities assigned

required qualifications:bachelor’s degree or associate degree in computer science/information technology, engineering (computer/telecommunication) or equivalent5+ years of experience in designing, developing and implementing uipath software solution rpauipath certification is an asset

proficient in ms office suite applications

must be able to work under minimum supervision and in a team environment.this is a full-time position. we offer an excellent benefits and salary package.seniority level

seniority level

mid-senior level

employment type

employment type

full-time

job function

job function

engineering, information technology, and quality assuranceindustriesmedical equipment manufacturingreferrals increase your chances of interviewing at i

rhythm technologies, inc. by 2xsign in to set job alerts for “robotics engineer” roles.robotic process automation (rpa) developermakati, national capital region, philippines 2 months ago

manila, national capital region, philippines 3 days ago

robotics process automation (rpa) senior developermandaluyong, national capital region, philippines 2 weeks ago

mandaluyong, national capital region, philippines 2 weeks ago

quezon city, national capital region, philippines 5 days ago

mandaluyong, national capital region, philippines 1 month ago

mandaluyong, national capital region, philippines 1 week ago

national capital region, philippines 15 hours ago

manila, national capital region, philippines 1 year ago

pasig, national capital region, philippines 1 week ago

artificial intelligence engineer (fresh grads)mandaluyong, national capital region, philippines 1 month ago

pasig, national capital region, philippines 1 day ago

process automation engineer, business intelligencemanila, national capital region, philippines 4 days ago

makati, national capital region, philippines 1 day ago

makati, national capital region, philippines 3 weeks ago

quezon city, national capital region, philippines 1 month ago

muntinlupa city, national capital region, philippines 2 months ago

pasig, national capital region, philippines 1 week ago

pasig, national capital region, philippines 1 week ago

quezon city, national capital region, philippines 1 day ago

taguig, national capital region, philippines 3 weeks ago

robotic process automation (rpa) developer – automation anywheretaguig, national capital region, philippines 1 week ago

muntinlupa city, national capital region, philippines 1 week ago

manila, national capital region, philippines 3 months ago

makati, national capital region, philippines 1 week ago

pasig, national capital region, philippines 7 months ago

manila, national capital region, philippines 1 month ago

taguig, national capital region, philippines 3 weeks agorpa developer (uipath) - august 11 startmuntinlupa city, national capital region, philippines 20 hours ago

taguig, national capital region, philippines 17 hours ago

national capital region, philippines 1 day ago

manila, national capital region, philippines 3 days ago

makati, national capital region, philippines 4 months ago

mandaluyong, national capital region, philippines 3 days ago

taguig, national capital region, philippines 2 weeks ago

makati, national capital region, philippines 4 weeks ago

maintenance engineer - electrical/instrumentswe’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr",[]
Combustion Equipment Engineers,"JGC Philippines, Inc.","Muntinlupa, Metro Manila",,"job requirements

must be graduates of bs mechanical engineering course.
two (2) years minimum experience in pressure vessels design (absorbers, scrubbers, quenchers or similar equipment).
preferably with experience in the design of frp vessel referencing asme rtp.
must have proven experience in design and/or document review for brick-lined or refractory-lined vessel or other equipment.
with good understanding of client specifications, project requirements, statutory and local regulation requirements, safety, and quality standards as well as knowledgeable on international codes and standards such as api and asme.
must be capable in the preparation of equipment specification, mechanical data sheet, material requisition, vendor proposals technical clarification, evaluation and reports.
must be able to understand and review various types of vendor documentation such as ga drawings, detail drawings, qc documents, etc.
with experience in any combustion equipment (boilers, flares, fired heaters, incinerators, etc.) design and engineering works.
with good communication, interpersonal, and coordination skills.
must have hands-on experience with various engineering design tools.

reminder: please attach letter of application and cv.

#j-18808-ljbffr",[]
Mobile QA Engineer (Automation),HRTX,"Taguig, Metro Manila",,"responsibilities:design and develop: create, implement, and maintain well-structured, reusable, and scalable automated test scripts and frameworks for (ios and android) using java and appium. execute and analyze: run automated test suites, manage test execution on cloud-based device farms (e.g., digital al, aws device farm, browserstack, sauce labs), analyze results, troubleshoot failures, and accurately report defects. framework enhancement: contribute to the evolution and enhancement of our existing mobile automation frameworks, focusing on efficiency, reliability, and ease of maintenance.

ci/cd integration: integrate automated tests into our continuousintegration/continuous delivery (ci/cd) pipelines to provide rapid feedback to development teams and support agile development practices. collaboration: work closely with software developers, qm, and manual qa engineers to understand feature requirements, define test strategies, identify automation opportunities, and ensure comprehensive test coverage. problem solving: investigate and debug complex issues found during automated testing, and collaborate with development teams to ensure timely resolution.

best practices: stay current with the latest industry trends, tools, and best practices in mobile automation, testing methodologies, and mobile technologies, and advocate for their adoption where appropriate. mentorship (optional, depending on seniority): potentially guide and mentor junior team members in automation best practices and techniques. documentation: maintain clear and concise documentation for test plans, automation frameworks, and test cases.

qualificationbachelors degree in computer science, software engineering, or a related technical field, or equivalent practical experience.3+ years hands-on experience in appium for mobile ui automation. strong proficiency in java/c#/python for test automation development. solid understanding of mobile application architecture, common design patterns and the mobile development lifecycle.

experience with version control systems (e.g., git, github, gitlab). familiarity with ci/cd tools and practices (e.g., jenkins, gitlab ci, circleci). excellent communication and interpersonal skills, with the ability to collaborate effectively in a fast-paced, agile team environment.

r


#j-18808-ljbffr",[]
Test Automation Engineer (TOSCA),Artech Technology Inc,"Manila, Metro Manila",,"job title: tosca test engineer

location: taguig city

work schedule: hybrid/2x a week onsite

salary range: 120k to 130k (negotiable depending upon experience)

position type: 06 months contract (possible extension)

job description:

1. 5+ years of experience in tosca automation testing and expertise in automation planning, test case creation & test execution with diverse knowledge in various projects and have comprehensive understanding in all aspects of software testing life cycle.
2. should be as1, as2, ae2, tds1 and tds2 automation certified with tricentist
3. able to apply the automation skills in automating the regression scripts for the complex application.
4. having strong hands-on experience in using tosca components like requirements, test case design, modules, test cases, execution list, scratch book.
5. handled test data in tosca by using in-built features such as test data management (tdm), test data service (tds) and having extensive knowledge of writing and reading test data from these repositories.
6. strong knowledge in table steering, creating libraries, object identification by image, index, anchor, excel validation, looping concepts.
7. effective use of test case template-instance concept to create end to end business flow.",[]
Semiconductor Automation Design Engineer(47072) - Binan Laguna,RCX Recruitment,"Biñan, Calabarzon",,"salary: 30,000 - 50,000

qualifications:
- candidate must possess at least a bachelor's / college degree in mechatronics/ electromechanical/electrical engineering and/or equivalent course.
- at least 3-5 years of working experience ideally in semiconductor equipment (oem)
- experience designing touch panels for fa (mitsubishi, omron, keyence, proface, etc.)
- experience in designing temperature controllers
- experience in secs/gem design

a. job summary
1. design, develop, and implement automation solutions for the semiconductor manufacturing process, including equipment,
and process control.
2. software development programs using different languages and monitoring semiconductor equipment.
3. identifying and resolving equipment and process issues, optimizing overall efficiency.
4. maintain and accurate documentation of automation systems, processes, and software programs
5. work closely with cross-functional teams, including end users.",[]
Mobile QA Engineer (Automation),HRTX,"Taguig, Metro Manila",,"responsibilities:design and develop: create, implement, and maintain well-structured, reusable, and scalable automated test scripts and frameworks for (ios and android) using java and appium. execute and analyze: run automated test suites, manage test execution on cloud-based device farms (e.g., digital al, aws device farm, browserstack, sauce labs), analyze results, troubleshoot failures, and accurately report defects. framework enhancement: contribute to the evolution and enhancement of our existing mobile automation frameworks, focusing on efficiency, reliability, and ease of maintenance.

ci/cd integration: integrate automated tests into our continuousintegration/continuous delivery (ci/cd) pipelines to provide rapid feedback to development teams and support agile development practices. collaboration: work closely with software developers, qm, and manual qa engineers to understand feature requirements, define test strategies, identify automation opportunities, and ensure comprehensive test coverage. problem solving: investigate and debug complex issues found during automated testing, and collaborate with development teams to ensure timely resolution.

best practices: stay current with the latest industry trends, tools, and best practices in mobile automation, testing methodologies, and mobile technologies, and advocate for their adoption where appropriate. mentorship (optional, depending on seniority): potentially guide and mentor junior team members in automation best practices and techniques. documentation: maintain clear and concise documentation for test plans, automation frameworks, and test cases.

qualificationbachelors degree in computer science, software engineering, or a related technical field, or equivalent practical experience.3+ years hands-on experience in appium for mobile ui automation. strong proficiency in java/c#/python for test automation development. solid understanding of mobile application architecture, common design patterns and the mobile development lifecycle.

experience with version control systems (e.g., git, github, gitlab). familiarity with ci/cd tools and practices (e.g., jenkins, gitlab ci, circleci). excellent communication and interpersonal skills, with the ability to collaborate effectively in a fast-paced, agile team environment.

r


#j-18808-ljbffr",[]
Excitation Commissioning Engineer,ABB,"Parañaque, Metro Manila",,"commissioning engineer - excitation solutions

at abb, we are dedicated to addressing global challenges. our core values: care, courage, curiosity, and collaboration - combined with a focus on diversity, inclusion, and equal opportunities - are key drivers in our aim to empower everyone to create sustainable solutions. that's our story. make it your story.

this position reports to

operations manager - bl excitation(amea)

your role and responsibilities

in this role, you will have the opportunity to act as commissioning lead for projects with low to medium complexity. each day, you will ensure completion of all commissioning activities efficiently and cost-effectively in accordance with contract specifications, quality standards, safety requirements, and cybersecurity policies and standards. you will also showcase your expertise by supporting continuous improvement of project process/product/system design.

the work model for the role is: onsite this role is contributing to the excitation business line of process automation energy industries division of abb. you will be mainly accountable for:

contributing to planning and implementation of commissioning activities.
participating in internal project review meetings and providing inputs on commissioning activities.
coordinating site activities focused on finalizing customer acceptance certification and recommending new effective solution to meet business and customer needs.
providing relevant information pertaining to commissioning assignments and meetings with customer besides giving feedback to the organization to apply lessons learned process.
using standard processes to ensure all commissioning activities comply with required safety regulations and contractual requirements.
conducting risk and opportunity assessments during commissioning phase to ensure implementation of commissioning plan, identifies and reports potential risks related to contract/quality/program/cost and recommends resolutions to project
initiating and monitoring risk mitigation plan in one’s area of responsibility and ensuring stakeholders are updated on associated technical risks.

qualifications for the role

degree in an engineering discipline.
you have around 5 years of experience in commissioning of excitation and electrical systems.
ability to demonstrate your knowledge in excitation and other electrical systems such as lv and mv switchgears, transformer and protection relays.
you are highly skilled in maintenance, testing and commissioning as well as fat/sat of excitation and electrical systems.
preferable working experience in segments such as oil and gas, chemicals and refining, offshore and power & water industries.
industries.
experience in commissioning of unitrol & synchrotact systems is an added advantage.
you are at ease communicating in english.
willing to travel within the philippines and overseas.

more about us

abb energy industries is enabling safe, smart and sustainable projects and operations for businesses across the oil, gas, chemicals, life sciences, power generation and water sectors. driving integrated solutions that automate, digitalize and electrify industry we connect our people and technology to help our customers adapt and succeed. with over 50 years domain expertise, we continue to innovate and reshape traditional approaches across the energy sector with our technologies designed to improve operational efficiency, reduce risk, reduce energy consumption and waste.

we value people from different backgrounds. could this be your story? apply today or visit www.abb.com to read more about us and learn about the impact of our solutions across the globe.

#myabbstory",[]
