Role of Job,Company Name,Company Location,Type of Work,Description
Lead Control Systems Engineer,Thermo Systems LLC.,"Parañaque, Metro Manila",N/A,"career opportunities with thermo systems llc

careers at thermo systems llc

current job opportunities are posted here as they become available.

subscribe to our rss feeds to receive instant updates as new positions become available.

thermo systems is a global, full-service control systems integration partner, delivering world-class automation solutions in the district energy, life sciences, and mission critical markets. our diverse leadership and dedicated engineering team are committed to excellence and consistent growth. our unique company culture, known as ""the thermo way,"" strengthens our team by fostering an environment where all members perform their best.

our commitment to being unified, dynamic, and delivering excellence is evident in how we build trusting relationships through connection and camaraderie, ability to adapt, and focus on integrity and success. these values guide our daily operations and interactions, setting the standard for our team's behavior. as we continue to grow and evolve, ""the thermo way"" supports our goals of becoming a world-class organization, ensuring employee success, customer success, and financial strength.

job summary:

works on control system projects; leads in hardware and software design, development, integration, testing, and installation support. listens, takes direction, and seeks guidance from the assigned project leads, the supervisors, and company leadership.

education and experience:

bachelor of science; electrical engineering, mechanical engineering, computer science, or other pertinent curriculum combined with relevant technical experience.
typically 2+ years total experience.
proven track record: 1-3 years as control system engineer or equivalent.

duties and responsibilities:

technical responsibilities:

displays electrical and mechanical system troubleshooting skills.
demonstrate self-sufficiency in the field.
demonstrate the ability to lead other project members during installation, start-up, and commissioning.
lead and perform factory acceptance tests (fat).
read and interpret piping & instrumentation diagrams and wiring diagrams.
exhibit full understanding of human-machine interface (hmi) and programmable logic controller (plc) applications.
well versed in the company’s quality management system (qms).
provide review of standard documents generated by others for technical, grammatical, and aesthetic content.
demonstrate the ability to perform intermediate control system design with guidance from others.
provide instrumentation specifications for basic control systems.
demonstrate an understanding of information technology (it) system, network infrastructure, and computer system design, as it relates to control system integration.

customer service:

communicate in an effective, positive, and proactive manner with customers.
follow customer specific site standards and procedures.
always conduct business in professional manner.
provide excellent customer care and support.
be patient, attentive, and responsive to customers in solving their problems.
always follow up and honor commitments with customers.
develops an understanding of the customer needs and actively seeks to service those needs.
complete assigned tasks accurately, on schedule, and under budget.

project responsibilities:

understand the scope of work assigned to you, identify when issues arise that are beyond that scope, and communicate those issues to the assigned project lead.
lead individual project related tasks and/or small to mid-sized projects in their entirety.
provides accurate feedback on status of assigned tasks.
demonstrates an awareness of project contracts and specifications.

required skills and abilities:

in addition to control system engineer skills and abilities:
effectively communicates with co-workers.
strategically thinks and leverages knowledge to solve problems.
able to be independently effective and takes personal responsibility.
manage time efficiently.
promotes a positive/collaborative team culture.
overnight travel may be required up to 50%

on call:

on call rotation participation may be required based on location and client needs.

work authorization/other requirements:

proof of eligibility to work in the country where the position is located is required.
maintain a valid drivers license.
fit for duty at all times

culture:

model thermo systems core values of employee success, customer success and financial strength by:

seeking new and additional business through project change orders, additional services to existing customers, and referrals for new customers/projects. drive financial success.
be a good teammate, support your colleagues, promote a positive atmosphere for those around you. drive employee success.
go the extra mile for your customer, take ownership of their needs, over communicate. drive customer success.
foster an environment of integrity, trust, collaboration, professionalism, serving one another, leading by example, and assuming good intent each and every day.

what you'll get:

competitive salary, annual bonuses, 401(k) with company match, and business travel reimbursement: we appreciate our employees, and we make sure they know it.
benefits: we offer full-time employees multiple healthcare packages, including low-cost options.
casual dress: every day is ""casual friday""; we want you to be comfortable when you come to work.
training: we offer in-house and factory technical training to keep our staff sharp.
tuition reimbursement: we encourage academic advancement and professional credentialing.
vacation/sick time: we believe work-life balance is essential. ensuring our employees have time to truly relax and recharge is important to us.
culture & extras: we provide free lunches, regular team bonding & fun office events, and plenty of company swag.

thermo systems provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics.

salary range: $75,000.00 - $90,000.00/annually

#j-18808-ljbffr"
Senior Project Technical Engineer,Hitachi Energy,"Parañaque, Metro Manila",N/A,"the opportunity:

our grid automation business unit has a comprehensive portfolio of solutions. these range from substation automation, communication networks, grid automation services, grid edge solutions to enterprise software solutions. these solutions address all key segments connected to the energy system including generation, transmission distribution, industries, transportation and infrastructure sectors.

hitachi energy's grid automation business unit supports 50% of the top 250 global electric utilities. our grid automation hardware, software and services portfolio unites deep domain knowledge and innovative technologies that enable customers across the globe to optimize the critical systems that power, move and connect us. together, we’re building a more productive and sustainable world.

the senior project technical engineer leads the testing and commissioning for substation automation projects. support technical sales, ensure hse compliance, and act as the main contact for customers. join hitachi energy and help deliver cutting-edge scada and communication solutions.

how you’ll make an impact:

you will create abra (activity based risk assessment prior to going to the site and comply with all hitachi energy hse requirements.

you will support sales of automation & communications ( substation protection & control system – substation automation, scada communication, telecommunication) business on technical aspects.

you will perform testing and commissioning at customer site for substation protection & control / substation automation project.

you will generate test report & testing commissioning activity.

you will be the main liaison person between the hitachi energy project management team and customers.

you will be responsible to ensure compliance with applicable external and internal regulations, procedures, and guidelines.

living hitachi energy's core values safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business.

your background:

you hold a bachelor’s degree, preferably in electrical engineering.

minimum 5 to 10 years working experience in the field of substation automation and protection system is a must.

experience in managing subcontractors at sites

you must have basic hse competencies, audit and compliance.

you must be highly disciplined and able to work independently.

proficiency in english communication.

fully competent and experienced in conducting risk assessments at sites  

business travel flexibility is required both within philippines sites when required.

more about us:

we pride ourselves on offering a holistic range of competitive benefit programs to support your financial, physical and mental wellbeing and personal development. we want you to truly thrive with us – in work and out. for this role, depending on grade and experience, we offer the following benefits:

employer-sponsored medical plan (inc. dental care and optical).

group term life insurance, group personal accident insurance, group business travel insurance.

hospitalization insurance.

leave programs (annual leave, medical leave, hospitalization leave, exam leave etc.).

annual rice allowance.

sss, hdmf, and philhealth coverage.

*benefits are subject to the respective plan rules.

we can provide more information during the recruitment process"
Proposal Engineer,Yokogawa,"Manila, Metro Manila",N/A,"qualifications:

bachelor’s degree in instrumentation, electronics, or chemical engineering

at least 2 years of experience in product business unit proposals is preferred; fresh graduates are encouraged to apply

experience with field instrumentation (e.g., transmitters, flowmeters, analyzers) or proposal development is an advantage

proficiency in microsoft office applications

good problem-solving and time management skills

organized and systematic in task completion, particularly in proposal generation

knowledge or background in project management is a plus

perks and benefits:

medical / health insurance

allowances – rice, clothing, medical

retirement plan

paid leaves - vacation, sick, birthday, compassionate

laptop ownership

group life, accident insurances

by responding to yokogawa philippines inc.’s (ypi) job advertisement, consent is considered given to ypi to collect the required personal data for the purpose of recruitment and processing of your application with expectation that ypi will protect personal data with security safeguards that are reasonable and appropriate to the sensitivity of the personal data, to protect it from unauthorized access, use or disclosure and complies with applicable regulatory requirements with respect to the retention of personal data."
AUTOMATION ENGINEER,RMLogic Systems and Solutions Corporation,"San Pedro, Calabarzon",N/A,"overview:

we are seeking a highly skilled automation lead engineer with deep expertise in system integration, industrial automation software, and control systems. the ideal candidate will lead automation projects from concept to commissioning, ensuring robust system architecture, seamless integration, and strong client engagement. this role demands technical excellence, leadership, and a customer-focused mindset.

qualifications:

bachelor’s degree in electrical, electronics, or mechatronics engineering.

minimum 5 years of experience in:

system integration

plc, hmi, and scada programming

system architecture and hardware design

proficient in:

rockwell automation

siemens automation

aveva wonderware intouch

strong understanding of industrial communication protocols

experience in panel design, instrumentation, and control wiring.

excellent leadership, project management, and customer service skills.

valid driver’s license and ability to travel to customer sites

perks and benefits:

government benefits

13th month pay

performance bonus

allowance

additional leave

company car

company events

paid training

pay raise

staff meals provided"
Industrial Electrician,WHR Global Consulting,"Taguig, Metro Manila",N/A,"whr global consulting is hiring a full time industrial electrician role in taguig, ncr. apply now to be part of our team.


job summary:
looking for candidates available to work:
monday: morning
tuesday: morning
wednesday: morning
thursday: morning
friday: morning
more than 4 years of relevant work experience required for this role
expected salary: ₱40,000 - ₱50,000 per month



customer experience & support manager (industrial automation)

location: alabang

qualifications:

bachelor’s degree in electrical, electronics, instrumentation, or mechatronics engineering, or a closely related field.

minimum of 3–5 years of experience in technical customer support or service roles in industrial automation.

proven experience managing or coordinating 24/7 support operations or on-call service environments.

familiarity with industrial automation platforms such as scada (e.g., ignition, wonderware), plcs (e.g., siemens, allen-bradley), and hmi systems.

strong leadership, analytical, and communication skills; able to manage people and performance under time-sensitive situations. 

preferred qualifications:

experience supporting manufacturing plants, water utilities, power distribution, or critical infrastructure clients.

background in field service, commissioning, or systems integration.

knowledge of ot/it convergence, remote monitoring, and secure remote access solutions.

familiarity with crm systems, support ticketing tools, and field service management software.

we are seeking a highly capable and service-oriented customer experience & support manager to lead our post-sales support operations in the industrial automation sector. this role is critical in ensuring consistent, high-quality support for mission-critical systems, including 24/7 technical service coverage for clients in manufacturing, utilities, and infrastructure.you will lead the technical support team, work closely with account managers, and ensure that customer systems remain operational, supported, and fully adopted after commissioning. your focus will be on driving uptime, optimizing response times, and ensuring a seamless customer experience across all support channels and shifts. 

key responsibilities:

develop and implement escalation protocols to resolve urgent technical issues in coordination with engineering and project teams.

monitor real-time support performance, analyze incidents, and ensure root cause resolutions are captured and implemented.

work closely with account managers to ensure smooth handover from project delivery to support phase, including onboarding and training coordination.

conduct regular customer check-ins and reviews to assess satisfaction, gather feedback, and align on long-term goals.

lead the technical support team in providing remote and on-site troubleshooting for deployed scada, plc, mes, and hmi systems.

serve as the voice of the customer within the organization, providing feedback to engineering, product, and quality teams.

develop internal support knowledge base, training modules, and incident handling workflows to ensure consistent service delivery across shifts.

collaborate with sales and account managers to identify upsell or service contract opportunities."
Electrical Engineer (Lugait),Holcim,"Lugait, Northern Mindanao",N/A,"the eia supervisor controls, supervises, implements and organizes electrical, instrumentation & automation (eia) maintenance activities and resources including 3rd party service companies and contractors to ensure all work is completed in a safe, efficient and timely manner and in compliance with environmental requirements of the assigned focus area using the mac concept.

responsibilities:

executes maintenance plans and programs using prepared detailed job plans, technical specifications, machinery history, parts and tools lists, and safety procedures in a very organized fashion in the assigned/focus areas.

conducts active supervision of eia maintenance activities with adherence to personnel and equipment safety in line with the eia section objectives.

provide the eia maintenance planner with relevant feedback from completed work orders for planning / scheduling improvement.

leads eia activities development efforts to improve performance.

requirements:

graduate of bs in electrical engineering

must be a licensed electrical engineer

at least five (5) years of experience in the maintenance field works in a manufacturing plant.

with at least two (2) years of supervisory experience in eia maintenance."
Electrical and Automation Engineer,"Doxo Ingredients, Inc.","Manila, Metro Manila",N/A,"job qualifications:

must be a graduate of bs in electrical engineering

must be a registered electrical engineer

with a minimum of 3-5 years of experience in electrical design and procurement in construction or infrastructure projects

job responsibilities:

develop detailed electrical and automation system designs, including control panels, instrumentation, motor controls, power distribution, lighting and auxiliary systems

prepare technical drawings, single line diagrams, schematics, automation logic diagrams (plc/scada/hmi) using autocad and relevant tools

identify and prepare material and equipment specifications based on approved designs and project requirements

prepare bill of materials (bom), technical specifications, and material take-offs (mtos)

perform electrical load analysis, voltage drop calculations, short-circuit assessments and automation logic design

monitor contractor activities and ensure conformance with design, specifications and safety regulations

performs other related tasks as assigned"
Senior Project Technical Engineer,Hitachi Energy,"Parañaque, Metro Manila",N/A,"the opportunity:

our grid automation business unit has a comprehensive portfolio of solutions. these range from substation automation, communication networks, grid automation services, grid edge solutions to enterprise software solutions. these solutions address all key segments connected to the energy system including generation, transmission distribution, industries, transportation and infrastructure sectors.

hitachi energy's grid automation business unit supports 50% of the top 250 global electric utilities. our grid automation hardware, software and services portfolio unites deep domain knowledge and innovative technologies that enable customers across the globe to optimize the critical systems that power, move and connect us. together, we’re building a more productive and sustainable world.

the senior project technical engineer leads the testing and commissioning for substation automation projects. support technical sales, ensure hse compliance, and act as the main contact for customers. join hitachi energy and help deliver cutting-edge scada and communication solutions.

how you’ll make an impact:

you will create abra (activity based risk assessment prior to going to the site and comply with all hitachi energy hse requirements.

you will support sales of automation & communications ( substation protection & control system – substation automation, scada communication, telecommunication) business on technical aspects.

you will perform testing and commissioning at customer site for substation protection & control / substation automation project.

you will generate test report & testing commissioning activity.

you will be the main liaison person between the hitachi energy project management team and customers.

you will be responsible to ensure compliance with applicable external and internal regulations, procedures, and guidelines.

living hitachi energy's core values safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business.

your background:

you hold a bachelor’s degree, preferably in electrical engineering.

minimum 5 to 10 years working experience in the field of substation automation and protection system is a must.

experience in managing subcontractors at sites

you must have basic hse competencies, audit and compliance.

you must be highly disciplined and able to work independently.

proficiency in english communication.

fully competent and experienced in conducting risk assessments at sites  

business travel flexibility is required both within philippines sites when required.

more about us:

we pride ourselves on offering a holistic range of competitive benefit programs to support your financial, physical and mental wellbeing and personal development. we want you to truly thrive with us – in work and out. for this role, depending on grade and experience, we offer the following benefits:

employer-sponsored medical plan (inc. dental care and optical).

group term life insurance, group personal accident insurance, group business travel insurance.

hospitalization insurance.

leave programs (annual leave, medical leave, hospitalization leave, exam leave etc.).

annual rice allowance.

sss, hdmf, and philhealth coverage.

*benefits are subject to the respective plan rules.

we can provide more information during the recruitment process"
Project Engineer,Unilever,"Cavite City, Calabarzon",N/A,"job requisition id r-91918job title: project engineerlocation: philippinesmain scopereports to site transformation engineering managerthe project engineer is responsible for leading project execution and delivery at bwpc cavite, supporting the site transformation agenda. this includes implementing project stages safely, on time, within budget, and managing all aspects such as safety, costs, contractor management, quality, installation, commissioning, and ramp-up. plan, manage, and execute project phases including engineering, resource management, reporting, capital budgeting, contract procedures, and change management.

the project engineer oversees controls and electrical reliability, drives the electrical and automation masterplan, and manages site automation projects in collaboration with unilever design teams. serve as a subject matter expert in automation controls, mentor technicians, and develop software solutions to meet operational needs, ensuring system performance and responsiveness. job purpose:1.

collaborate daily with line crews, act as a technical trainer, and support automation and electrical projects, ensuring standards and reliability. provide expertise on factory systems like scada, plc, hmi, dcs, and control systems.2. establish and ensure compliance with electrical engineering and automation standards, support the plant masterplan, and contribute to innovation and renovation efforts.3.

implement value engineering to optimize costs while adhering to core values.4. deliver assigned capital projects (typically"
Industrial Electrician,WHR Global Consulting,"Taguig, Metro Manila",N/A,"whr global consulting is hiring a full time industrial electrician role in taguig, ncr. apply now to be part of our team.


job summary:
looking for candidates available to work:
monday: morning
tuesday: morning
wednesday: morning
thursday: morning
friday: morning
more than 4 years of relevant work experience required for this role
expected salary: ₱40,000 - ₱50,000 per month



customer experience & support manager (industrial automation)

location: alabang

qualifications:

bachelor’s degree in electrical, electronics, instrumentation, or mechatronics engineering, or a closely related field.

minimum of 3–5 years of experience in technical customer support or service roles in industrial automation.

proven experience managing or coordinating 24/7 support operations or on-call service environments.

familiarity with industrial automation platforms such as scada (e.g., ignition, wonderware), plcs (e.g., siemens, allen-bradley), and hmi systems.

strong leadership, analytical, and communication skills; able to manage people and performance under time-sensitive situations. 

preferred qualifications:

experience supporting manufacturing plants, water utilities, power distribution, or critical infrastructure clients.

background in field service, commissioning, or systems integration.

knowledge of ot/it convergence, remote monitoring, and secure remote access solutions.

familiarity with crm systems, support ticketing tools, and field service management software.

we are seeking a highly capable and service-oriented customer experience & support manager to lead our post-sales support operations in the industrial automation sector. this role is critical in ensuring consistent, high-quality support for mission-critical systems, including 24/7 technical service coverage for clients in manufacturing, utilities, and infrastructure.you will lead the technical support team, work closely with account managers, and ensure that customer systems remain operational, supported, and fully adopted after commissioning. your focus will be on driving uptime, optimizing response times, and ensuring a seamless customer experience across all support channels and shifts. 

key responsibilities:

develop and implement escalation protocols to resolve urgent technical issues in coordination with engineering and project teams.

monitor real-time support performance, analyze incidents, and ensure root cause resolutions are captured and implemented.

work closely with account managers to ensure smooth handover from project delivery to support phase, including onboarding and training coordination.

conduct regular customer check-ins and reviews to assess satisfaction, gather feedback, and align on long-term goals.

lead the technical support team in providing remote and on-site troubleshooting for deployed scada, plc, mes, and hmi systems.

serve as the voice of the customer within the organization, providing feedback to engineering, product, and quality teams.

develop internal support knowledge base, training modules, and incident handling workflows to ensure consistent service delivery across shifts.

collaborate with sales and account managers to identify upsell or service contract opportunities."
Electrician,Container Corporation of the Philippines,"Quezon City, Metro Manila",N/A,"responsible in keeping and maintenance of plant instrumentation and process control equipment and its auxiliaries, participates in the repair, installation, overhauling and reconditioning of instrumentation control and equipment.
preferably with ncii certificate
can work under minimal supervision
willing to work or relocate in edsa, balintawak."
Protection & Control Engineer - Pooling,Jacobs,"Mandaluyong, Metro Manila",N/A,"mandaluyong city, all ph regions, philippines

job id: #23684

at jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery, and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.

your impact:

at jacobs, our power solutions team is geared towards providing a more integrated approach offering end-to-end service to support our clients in energy networks, thermal generation, renewable generation, and storage solutions space. we are helping our clients meet the challenges faced in countries and cities across the globe, providing innovative solutions from replacing conventional thermal power plants with renewable energy to developing demand-side management strategies.

we are currently looking for a protection & control engineer. this role is expected to lead and deliver consultancy engineering services in the fields of transmission and distribution with specific technical focus on secondary and protection design leadership.

the role is expected to be a trusted advisor for clients and attain work and confidence in technical skills and ability to deliver what clients require for their business, on time and on budget. as appropriate, you will also mentor and develop other engineers to grow jacobs offering in your area of specialty.

here's what you'll need:

an experienced engineer (5+ years) that has well established power transmission experience.
experience in delivering technically excellent engineering designs and consultancy services. independently carry out design and review on projects.
competency in secondary and protection design for transmission and distribution utilities with minor supervision.
able to directly liaise with clients in a confident manner and lead meetings with clients for small projects.

jacobs. a world where you can.

from our inclusive employee networks to our positive mental health champions – we’re committed to driving a culture of caring where you can be you. joining jacobs not only connects you locally but globally - and together, our diverse perspectives and unique backgrounds power our collective strength. we collaborate and share! by supporting one another, we all succeed.

with safety and flexibility always top of mind, we’ve gone beyond traditional ways of working so you have the support, means, and space to maximize your potential. you’ll uncover flexible working arrangements, benefits, and opportunities to do good too – from participating in our global giving and volunteering program to exploring new and inventive ways to help our clients make the world a better place. no matter what drives you, you’ll discover how you can cultivate, nurture, and achieve your goals – all at a single global company.

start your jacobs career with a company that inspires and empowers you to deliver your best work so you can evolve, grow, and succeed – today and into tomorrow.

please note: if you are being represented by a recruitment agency you will not be considered. to be considered, you will need to apply directly to jacobs. #asiaid #phrec

#j-18808-ljbffr"
Instrumentation Specialist,Styrotech Corporation,"Meycauayan, Central Luzon",N/A,"about the role

styrotech corporation is seeking an experienced instrumentation specialist to join our team. this is a full-time position based in meycauayan city bulacan. as the instrumentation specialist, you will play a crucial role in ensuring the optimal performance and reliability of our industrial automation systems and instrumentation equipment.

what you'll be doing

responsible for the repair/trouble shooting of production equipment electrical, motor controls, inverters and plc.

responsible for the overall maintenance in coordination with leadman for the given pm schedule.

suggest all parts needed to production supervisor/line leader and planner for requisition before executing pm.

coordinate to leadman/engineering planner all machine concerns.

what we're looking for

degree in electrical/electronic engineering or a related field

with at least 1-2 years of experience in manufacturing company.

experience in management, operation, maintenance and repair of facility equipment and peripherals.

what we offer

the company is one of the leading manufacturers of full line disposable products for a wide range of industries. with a strong focus on delivering high-quality products and services, we have established a reputation for excellence and a commitment to the success of our clients. our talented team of professionals is dedicated to driving innovation and creating a positive impact in the communities we serve.

if you are an instrumentation specialist with a passion for industrial automation and a desire to be part of a dynamic, growing organization, we encourage you to apply for this exciting opportunity. please submit your resume and cover letter today."
Instrumentation Technician,Universal Robina Corporation,"San Cristobal, Calabarzon",N/A,"grow beyond ur job with urc

 universal robina corporation is looking for an instrumentation technician in calamba plant.

instrumentation technician executes corrective and/or preventive maintenance activities related to electronics, instrumentation & process control components of the assigned machine, equipment or line, following implementation applicable of maintenance, quality, and occupational safety standards. the instrumentation technician coordinates with the instrumentation supervisor, and work hand-in-hand with the production team in ensuring accuracy and calibration of process control, electronics- and program-based components of machines and equipment of the line assigned.

what are the roles and responsibilities?

1.    execute preventive and/or corrective maintenance of electronics, instrumentation & process control components aligned with production plans and established standards including, but not limited to, process & product quality, and machine maintenance;

2.    coordinate with involved department machine maintenance, basic equipment care, and corrective or preventive maintenance activities for all electronics, instrumentation & process control components of the line, as needed, based on implemented machine maintenance systems; and coordinate to the instrumentation supervisor/s potential non-conformances and possible machine breakdowns;

3.    align with the implementation of policies and standards related, but not limited to, ehs hazard identification and risk assessment, good manufacturing practices, qms, haccp, halal, and fssc; and as in the case may be, form part of the internal audit team and ensure compliance on, established management systems mentioned;

4.    conduct daily inspection of the line and ensure compliance to implemented safety and quality systems & standards, as mentioned;

5.    assist in preparing maintenance reports; and participate in breakdown analyses to address non-conformances, operational losses, and continuous improvement related to mechanical and electrical components of the line; and provide feedback on electronics, instrumentation & process control to the assigned team and line & process owners;

6.    accomplish maintenance reports, as needed; and attend turnover activities;  

what are the qualifications?

1.    graduate of any engineering course, preferably electrical, electronics or mechanical engineering; license and/or certification is an advantage;

2.    with at least 3 years of experience in manufacturing industry, at least 1 year of which in a supervisory capacity, preferably with experience in maintenance operations, and exposure in food & beverage manufacturing industry;

3.    with aptitude in implementing relevant management systems in the food industry, including but not limited to ehs management systems, good manufacturing practices, qms, haccp, halal and fssc;

4.    with prominent leadership, communication and basic management (planning, leading, organizing and controlling) skills, communication skills, team player, keen to details, and organized record-keeping skills;

5.    with proficiency in microsoft office suite (word, excel, powerpoint, outlook and teams, at minimum), and sap s/4 hana; and

6.    with excellent people management skills, backed by solid experience in coaching, mentoring, employee discipline, performance management, talent development and change management. familiarity with basic labor laws and line human resources functions is preferred.

company overview

universal robina corporation (urc) is one of the largest branded consumer food and beverage product companies in the philippines. we’ve built three strong regional brands over the years— jack 'n jill for snack foods, c2 cool and clean for ready-to-drink tea, and great taste for coffee. these brands are becoming popular across the asean region. we also have premium brands from sba through their snack foods segment such as thins, cheezels, cc’s, kettle and natural chip, co., and griffin’s through their high-quality sweet biscuits and wide range of healthy wrapped snacks called nice and natural. urc's key to success has been attributed to building strong brands, robust product innovation pipeline, and world-class manufacturing and supply chain capabilities.

our promise

we offer multi-industry and international exposure. urc is the major player in various food, agricultural and industrial sectors with a powerful presence throughout the asean regions.

we advocate a culture of success. urc empowers its people to become holistic individuals and socially responsible leaders.

we are committed to promoting learning and development. urc provides exciting experiences for its people to maximize their potentials and hone their talents. we bring the best in our people and offer them a rewarding career.

our core purpose

delight everyone with good food choices.

our values

put people first. we care, cultivate trust, and listen without judgement

own it. we take initiative to unlock opportunities.

dare to do. we champion experimentation and incubate new ideas.

move forward fast. we see the big picture and learn along the way.

our ambition

we are a sustainable global enterprise of world class talent giving everyone access to high quality planet-friendly products and enhancing the lives of our employees, customers, consumers, and communities.

apply with us today and join us in delighting our employees, customers, consumers, and communities with good food choices!

note: universal robina corporation does not collect fees throughout our recruitment process and does not collaborate with any travel agency or third party to provide accommodation or other services to job applicants. all urc recruitment processes happen in our respective offices or plants. recruitment processes are only carried out by our talent acquisition teams with an official corporate email address."
Field Application Engineer,Solenergy Systems Inc.,"Makati City, Metro Manila",N/A,"job description:
 support project management for projects in the commercial rooftop project and other solar pv system related
opportunities.
 planning and execution of solar photovoltaic projects in accordance to the set timeline, budget, and the
company's quality and safety standards. this includes preparation of engineering plans, acquisition of work
permits, electrical and installation works, management of workers, coordination with clients, and preparation of
reports.
 provide system architecture and i/o list
 sas/scada & envision products installation, configuration upto site testing and commissioning.
 responsible for ensuring integrated s sas/scada & envision products design and compliance to employers
requirements/specifications
 review quality and test documentation for sas/scada & envision products systems
 secure co-operation and teamwork between different contractors and their with scada specialists, scada
network specialists and scada hardware engineers
 interfacing with owner’s engineer (oe), contractors, ngcp/grid operator as well as the distribution utilities.
 provide technical support to the engineering and o&m team on scada and envision products related items.
 such other duties that may be required from time to time within the general scope of the position.

qualifications:
 bachelor’s degree or above in electrical engineering or other engineering related course.
 at least 2 year(s) of working experience in the related field is required for this position.
 proven experience in a technical role, such as application engineering, technical support, or related positions.
 strong experience with electrical/building wiring installation as per pec standards / iec,ieee,neta standards.
 strong technical proficiency in relevant technologies and products.
 excellent problem-solving and troubleshooting skills.
 effective communication skills, both verbal and written, with the ability to convey complex technical information to
non-technical audiences.
 ability to work independently and collaboratively in a dynamic and fast-paced environment.
 practical experience with scada technologies, panel building and grid calculations.
 technical knowledge within areas of industrial automation.
 knowledge and experience with design and implementation of scada and electrical control systems for industrial
automation projects
 knowledge and experience within area of creating and maintaining technical documentation for scada, network,
process control and data exchange related installations.
 understanding of the relevant technical codes, regulations and standards relating to the development of
renewable energy projects in philippines and pdc and pgc.
 proficient in microsoft word, powerpoint and excel, autocad
 interest in renewable energy projects.
 willingness to travel and spend time on site.  experience with modbus, dnp and other communication protocols is an advantage.
 must have a driven and positive ""can-do"" attitude and be interested in learning, experimentation and r&d."
Technical Staff/ Electrical,"RG Manufacturing & Trading Solutions, Inc.","Taytay, Calabarzon",N/A,"planning of installation & commissioning of machines
- supervision and take part in installation & commissioning
- design medium & low voltage circuitry
- work analysis and submission of job reports
- repair & trouble shooting of machines & requirements

**qualifications**:

- can design medium & low voltage electrical circuitry.
- can interpret lay-out drawings and p&id diagrams.
- knowledge in acad and instrumentation.
- must possess supervisory skills
- can estimate electrical installation costing.
- with extensive experiences in food, beverage and pharmaceutical processing industry.
- proficient in verbal and written communication.
- team player.
- hardworking, enthusiastic, trustworthy, and multi-tasking.
- preferably 1 year experience specialized in manufacturing/production operations or equivalent.
- preferably lives in rizal area.

**salary**: from php18,000.00 per month

schedule:

- 8 hour shift"
Electrical Engineer,Omya,"Cavite City, Calabarzon",N/A,"job summary :

 reporting to the maintenance supervisor, this will support plant process including electrical equipment, application database and other equipment related to process controls.

duties and responsibilities :

the electrical engineer is responsible for the repairs & maintenance and upgrade of the plant process which shall require the following:

performs cost effective repairs and maintenance of all electrical plant equipment.

selects, engages and supervises maintenance contractors with the approval of the maintenance supervisor and plant manager.

ensures that electrical and automation/instrumentation systems comply with required specifications (focusing on safety, quality, reliability and economy)

be involved in projects from the concept and detail of the design through to implementation, testing and handover.

determines electrical & automation equipment spares inventory requirements in consultation with the maintenance head and plant manager. 

determines and sources electrical &automation maintenance equipment requirements with the approval of the maintenance supervisor and plant manager.

makes recommendations /project proposals for system(s) upgrades, prepare engineering and work specifications, develop work procedures and develop budget or cost estimates for various construction and maintenance projects

establishes an effective machine preventive maintenance, predictive maintenance, corrective maintenance system with continuous improvement programs.

trouble shooting for electric issues including plc related issues.

improves production performance with automation process

develops and maintains:

plant electrical &automation maintenance programs.

workshop environment including the safe working condition of all tools.  

establishes a workable library and maintain a filing system of all plant equipment, supplier and contractors.

a)  sets up and executes a planned/scheduled preventative maintenance system. creates and maintains historical equipment maintenance records.

 b)  monitoring and ordering of electrical & automation equipment, spare parts and maintain an up-to-date store inventory after consultation with production supervisor. 

attends out-of-hour call outs as required to ensure that the plant is brought back into full production after equipment breakdown. if required, supervise a breakdown crew that could consist of plant employees, contract labor or a combination of both.

job specifications:

graduate of bachelor of science (bs) degree in electrical engineering

license is an added advantage but not required

minimum of 2 years experience with plant electrical system in a manufacturing environment  preferably in a heavy industry  (cement, aggregates, mining,  mineral processing, sugar/feed mills, coating and paint , etc..)

experience in motors, turbines, pc, scada  is an added  advantage

can work effectively either under limited supervision or in a team environment

residents of cavite or nearby calabarzon areas or willing to relocate to cavite

benefits :

annual increase based  on performance

performance bonus

hmo

life insurance

vacation  leaves

sick leaves

emergency leaves

rice subsidy

bereavement assistance

bereavement leaves

christmas bonus and token"
