Role of Job,Company Name,Company Location,Type of Work,Description
Electrical Design Engineer (Substation) - HEAD OFFICE,MIESCOR,"Pasig, Metro Manila",N/A,"the design engineer provides and recommends best value of design which meets project requirements for operability, reliability, maintainability, and safety. he/she develops design standards & methodologies, and quality assurance of engineering design of the projects. provides analysis and design calculations and reports, detailed design drawings, material and equipment specifications and as-built drawings.

•liaises with other design engineers, project management & engineering and project management office groups regarding project requirements. conducts site visits to verify and coordinate with clients, subcontractors and field engineers regarding project concerns. requirements:graduate of a bachelor’s/college degree electrical engineering; licensed engineer.

at least 1-2 years work experience in primary or secondary substation design. others:work location: pasig citywork schedule: monday to friday (8am to 5pm) - wfh setup every other week of friday.


#j-18808-ljbffr"
Sr. Design Electrical Engineer,Pan Asia Resources Ph Inc.,"Makati City, Metro Manila",N/A,"job description:

design and estimate electrical installation works to meet assigned specifications. reports technical information as well as specification and development to management

prepares a details boq with unit rates for material and manpower

clarifies/coordinates with other divisions and suppliers regarding scope of work, quality of material and cost of the project, electrical equipment cost, materials, labor, and overhead.

design, calculate prepare technical specifications for each project. design modification and component substitution in the instruments as needed.

qualifications

must be a registered electrical engr.

 at least 5 years of experience in design

can communicate

well in english and tagalog

can work minimum supervision

understand the latest cad program

must be able to work under pressure, particularly when faced with a tight deadline

must be able to work normal hours, but also be willing to work overtime when necessary

analytical, and computer literate

knowledgeable on the following (electrical)

etap 20.6 (advantage)

dialux evo (advantage)

short circuit, voltage drop calculations (advantage)"
Electrical Design Engineer (Zambales),Planate Management Group Corp.,"Dinalupihan, Central Luzon",N/A,"planate management group (pmg) is a service-disabled veteran-owned small business (sdvosb) headquartered in alexandria, virginia, and orlando, florida usa with technical support centers in south east asia and east africa, that provide program management and facilities engineering services worldwide. planate is a small business provider of planning, design, infrastructure management, technical consulting, engineering, and construction management services in support of the us department of defense (dod) and its service (army, air force, navy, marine corps) missions, along with other us federal agencies, all over the world.

the electrical engineer will be responsible for overseeing all activities pertaining to all facets of electrical work. you will work with the team in preparing assessment reports, designs and estimates. this is a full-time position based in our subic bay office.

based on the market data, the salary range for this position is php30-40k/month (range varies depending on experience and qualifications). duties and responsibilities:performs design work for new construction, renovations and improvement of the shipyard. interprets and adapts traditional methods and approaches in developing design calculations, layouts, drawings, and specifications that support project objectives and standards

responsible for selected construction inspections, quality control and submittal reviews beyond the expertise of construction managers

develops cost estimates and time schedules as well as the technical specifications; construction methodology/ construction method stamen as needed.reviews and analyzes preliminary and final designs, plans and specifications for technical efficiency and adequacy

perform detailed calculations to establish standards and specifications

inspect installations and observe operations to ensure compliance with design and equipment specifications and safety standards

use computer-assisted engineering software (autocad, coordination studies a load analysis) to perform engineering tasks as assigned

support the contract management, and planning divisions with scope, programing and scheduling definition

keep current with the latest technical innovations in electrical engineering

perform other responsibilities associated with this position as may be appropriate.qualifications to be successful in the role:degree in electrical engineeringmust be a licensed electrical engineer5-10 years of design and field experience

proficient in autocad and other microsoft office applicationseffective communication skills (both verbal and written)has an innovative approach to utilize new technologies and exceptional problem-solving abilities.must have a driver's license and a philippine passport

amenable to work in subic bay freeport zonewhy planate? planate management group is an affirmative action and equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.

joining the planate team opens you to an experience working for a global company where you are among a team that is considered a premier trusted partner for planning, design, engineering, asset management, and professional service solutions anytime, anywhere. we take care of

our own; personally and professionally, up and down the line.

employees enjoy the following benefits:medical insurance

life insurance with add&dtravel insurancestrict compliance with government-mandated benefitswellness offeringtraining and developmentlicense/certification support

holiday pay

paid time offrewards and recognitionperformance reviewwe’d love for you to be a part of our global workforce, helping us serve as an effective and integrated partner to advance every client's mission!


#j-18808-ljbffr"
Electrical Design Engineer,JCSantos Corporation,"Diliman, Calabarzon",N/A,"jcsantos corporation is hiring a full time electrical design engineer role in diliman, ncr. apply now to be part of our team.


job summary:
flexible hours available
1 year of relevant work experience required for this role
expected salary: ₱20,000 - ₱25,000 per month



design of lighting and power distribution system, electrical equipment layouts, panel schedules, load calculations, single line diagrams, fire alarm and telecommunications. 

knowledgeable in philippine electrical code 

 having skills in etap, dialux and revit  is a plus.... email your resume: ******@jcsantos.net "
Associate Engineer - Electrical Design,Shell,Philippines,N/A,"where you fit in

the new seam organization integrates safety, environment & asset management activities, with a broad geographical footprint, that will support shell’s business & assets around the world. the vision of seam is to provide capability across the spectrum of safety, environment and asset management with:shaping the future ways of working through introducing to the business new technology and news way of working, including e.g., digital, sbo, and real-time, data-driven, end-to-end optimization and risk management, but also global programs like human performance based safety philosophy.providing performance feedback driving disciplined execution to deliver reliable, predictable results.helping the businesses build their improvement plans and provide support to execute them.sustaining performance through strong core capabilities (internal, including sbo & contingent) through building expertise and a company-wide consistent approach

what's the role? act as subject matter expert for electrical system modelling and detailing. read & comprehend the various technical drawings of the process & facilities like p&ids (piping & instrumentation diagram), slds, control schematics, layout drawings, related equipment.

comprehensive experience in eht related drawings like isometric drawings, panel schedule, cable summary, cable schedule, one line diagram, grounding layout, cable routing layout, plot plan layout . experience in high voltage system, earthing , lighting and panels, motors and other electrical drivers.

understand and interpret the corrections & redline mark ups done in the drawings. experience in electrical designing of cable trays, junction boxes, harness routings, plot plan understanding, cable calculation. preparation & checking of all 2d design deliverables like hook-up drawings, loop drawings, spi ild wiring & esl creations, block drawings, jb drawings, cable schedule, drum schedule, cable routing, instrument location drawings, f&g layouts, control room drawings.

preparation & checking of mto.review of vendor drawings including control system wiring and panel drawings all other interfaces for design deliverables. preparation and checking of mechanical packages c&i design documents, experience in electrical standards, codes. hands on experience in 3d model review tools such as naviswork freedom/ manager, smart plant review.

hands on experience in 3d modelling and handling 3d modeling software’s like aveva tools, smart plant will be a value-added scope. knowledge of autocad and microstation is a must

what you bring:education/experience:electrical related engineering degree with at least 5 plus years of work experience in professional/ engineering in electrical drawing & drafting/cad with 5 years of experience in:electrical design & selection of electrical components, comprehending, creating & updating the drawings viz. p&ids, electrical equipment schedules, 3d drawings, 2d & 3d drawing & drafting tool- autocad/microstation/spi/spel respectively in design, drafting & engineering firms/ consultancy firms/ plant environments/industry past the professional degree/diploma. ability to apply engineering best practices, codes, and standards to identify issues, recommend improvements, and implement solutions.

strong proficiency in 2d & 3d electrical detailing and modelling, drawings & drafting tools viz. autocad and microstation are musts for this role with spi/spel as added advantage. strong proficiency in english both oral and written.

experience in oil and gas/power and other related industries is highly . behavioral competences:strong communication skills and quick learner. ability to prioritize and ensure delivery of priorities for the area of responsibility.

flexible and adaptable to change, with track record of demonstrating initiative, analytical capabilities and problem solving.


#j-18808-ljbffr"
ELECTRICAL DESIGN ENGINEER,LPPA Design Group,"Leyte, Eastern Visayas",N/A,"electrical engineer

shall ensure that all works comply with approved drawings, technical specifications, and relevant codes (e.g., national building code, electrical code);

identify and rectify deviations or substandard work immediately; oversee the installation, implementation and testing of electrical systems and components;

ensure adherence to performance requirements, safety standards, and applicable codes;

certify the readiness of systems during commissioning and turnover;

preparation and maintenance of documentary requirements for government audits, turnover, and occupancy.

will work through the following project sites /but not limited to these in visayas island group:

• ilo-ilo, region 006

• negros occidental, region 006

• bohol. region 007

• leyte, region 008

the key minimum qualifications of the electrical/electronics and communications engineer are as follows:

 diploma or bachelor’s degree in electrical engineering or electronics and communication engineering or equivalent

at least 3 years of experience as electrical/electronics and communication engineer on civil works projects involving buildings or education related projects.

prc license must be updated.

 adaptable in fast paced environment handling multiple sites with subsequent deadlines. can present the company image well, professional with work & with the highest integrity. knowledgeable with documentation. self sufficient & cooperative with the team."
Electrical Design Engineer,GHD Group,"Makati City, Metro Manila",N/A,"help us build the future and we’ll help you build a rewarding and purposeful career.

our global network is made up of architects, designers, planners, engineers, and environmental scientists all working towards the same goal.

join a team that brings inspirational architecture, landscapes, townscapes and places to our world, and we’ll provide you unlimited space to grow.

we have a great opportunity for an experienced electrical design engineer. based in the philippines as part of a workshare team.

duties and responsibilities include but not limited to:

design all electrical systems ensuring compliance with standards, local regulations, and authority requirements for the australian region.
create detailed electrical drawings, schematics, and layouts for all the electrical systems, such as interior and exterior lighting design, small power distribution, equipment power distribution, cable routing, fire alarm, earthing, and lightning protection.
prepare comprehensive electrical design documents, including drawings, specifications, schedules, and technical reports, utilizing acad (autocad), revit, and navisworks.
conduct detailed electrical calculations, including load analysis, short-circuit analysis, voltage drop calculations, arc flash, and cable sizing, utilizing appropriate software tools and engineering principles.
collaborate closely with architects, and other engineering disciplines to integrate electrical systems seamlessly into project designs.

what you will bring to the team: 

bachelor's degree in civil or electrical engineering
at least 5 years of relevant experience, preferably with a focus on australian projects
in-depth knowledge of local regulations and authority requirements for the australian region
strong technical capabilities in acad (autocad), revit, and navisworks for designing electrical systems
familiarity with electrical load calculations, power distribution, voltage drop analysis, arc flash, and cable sizing
proficient in using electrical engineering software tools for analysis and design
strong understanding of lighting systems, small power distribution, equipment power distribution, cable routing, earthing, and lightning protection

this job offer can be based either in makati, quezon city or cebu, depending on your home base/location.

candidates must be a filipino citizen or have the right to work in the philippines.

#li-cr1
#li-hybrid

come together and make a meaningful impact. 

we bring our people together to create something bigger and solve some of the world's most complex problems. come and experience the power of commitment and see strategy and ideas come to life when you join ghd. 

let's drive real change.

our pledge to you
at ghd, we don’t just believe in the power of commitment, we live and breathe it every day.

that’s why we pledge to empower our people to make a positive impact. combining our deep technical expertise with the capabilities of our clients and partners, we respond to some of the most complex challenges facing our planet today. 

see where your commitment could take you.
that’s the #powerofcommitment

who we are 
ghd is a global professional services company that leads through engineering, architecture, and construction expertise. we are an employee-owned company with over 11,000 diverse and skilled individuals, across more than 200 offices spanning five continents.
the power of commitment is our brand promise. it’s what makes us different. we are bound to our stated vision and determination to address humanity’s most urgent needs: to make water, energy and urbanisation sustainable for generations to come."
Electrical Design Engineer (Substation) - HEAD OFFICE,MIESCOR,"Pasig, Metro Manila",N/A,"the design engineer provides and recommends best value of design which meets project requirements for operability, reliability, maintainability, and safety. he/she develops design standards & methodologies, and quality assurance of engineering design of the projects. provides analysis and design calculations and reports, detailed design drawings, material and equipment specifications and as-built drawings.

•liaises with other design engineers, project management & engineering and project management office groups regarding project requirements. conducts site visits to verify and coordinate with clients, subcontractors and field engineers regarding project concerns. requirements:graduate of a bachelor’s/college degree electrical engineering; licensed engineer.

at least 1-2 years work experience in primary or secondary substation design. others:work location: pasig citywork schedule: monday to friday (8am to 5pm) - wfh setup every other week of friday.


#j-18808-ljbffr"
Designer for Electrical Engineer,Arquee Corp,"Pasay City, Metro Manila",N/A,"join our electrical engineering team as a designer, creating precise, reliable, and code-compliant designs that power our building projects to success. this is a full-time, onsite role based in moa, pasay.

the role requires a detail-oriented professional with a strong grasp of electrical design standards and an ability to translate engineering concepts into accurate plans and layouts.

key responsibilities

prepare electrical design drawings, layouts, and schematics using cad and related tools

coordinate with electrical engineers for design specifications, load calculations, and compliance with local codes

review and revise designs based on engineering feedback and site requirements

ensure timely delivery of accurate design documents for construction and implementation

qualifications

degree or diploma in electrical engineering, electrical design, or related field

proficiency in autocad and electrical design software

knowledge of philippine electrical code and related standards

strong attention to detail and problem-solving skills"
Electrical Design Engineer,Solenergy Systems Inc.,"Mabalacat, Central Luzon",N/A,"-specialize in the design and development of photovoltaic (pv) systems, substations, and high voltage (hv) infrastructure and its respective field electrical design of new technology such as biogas, ev systems, etc.

-use cad software to create and modify 2d and 3d technical drawings and models.

-collaborate with the engineering team to design, analyze, and optimize photovoltaic (pv) systems, ensuring efficiency, reliability, and compliance with industry standards.

-contribute to the planning and design of low voltage (lv), substations and high voltage (hv) infrastructure for renewable energy projects.

-prepare detailed electrical engineering drawings, specifications, and documentation for pv projects and substation installations.

-prepare bom of materials for use in construction

-alignment with different stakeholders and suppliers for completion of services and equipment

-conduct feasibility studies and provide technical support for project proposals.

-stay updated on industry trends, standards, and regulations related to pv systems, substations, and hv design."
Electrical Design Engineer (Zambales),Planate Management Group Corp.,"Dinalupihan, Central Luzon",N/A,"planate management group (pmg) is a service-disabled veteran-owned small business (sdvosb) headquartered in alexandria, virginia, and orlando, florida usa with technical support centers in south east asia and east africa, that provide program management and facilities engineering services worldwide. planate is a small business provider of planning, design, infrastructure management, technical consulting, engineering, and construction management services in support of the us department of defense (dod) and its service (army, air force, navy, marine corps) missions, along with other us federal agencies, all over the world.

the electrical engineer will be responsible for overseeing all activities pertaining to all facets of electrical work. you will work with the team in preparing assessment reports, designs and estimates. this is a full-time position based in our subic bay office.

based on the market data, the salary range for this position is php30-40k/month (range varies depending on experience and qualifications). duties and responsibilities:performs design work for new construction, renovations and improvement of the shipyard. interprets and adapts traditional methods and approaches in developing design calculations, layouts, drawings, and specifications that support project objectives and standards

responsible for selected construction inspections, quality control and submittal reviews beyond the expertise of construction managers

develops cost estimates and time schedules as well as the technical specifications; construction methodology/ construction method stamen as needed.reviews and analyzes preliminary and final designs, plans and specifications for technical efficiency and adequacy

perform detailed calculations to establish standards and specifications

inspect installations and observe operations to ensure compliance with design and equipment specifications and safety standards

use computer-assisted engineering software (autocad, coordination studies a load analysis) to perform engineering tasks as assigned

support the contract management, and planning divisions with scope, programing and scheduling definition

keep current with the latest technical innovations in electrical engineering

perform other responsibilities associated with this position as may be appropriate.qualifications to be successful in the role:degree in electrical engineeringmust be a licensed electrical engineer5-10 years of design and field experience

proficient in autocad and other microsoft office applicationseffective communication skills (both verbal and written)has an innovative approach to utilize new technologies and exceptional problem-solving abilities.must have a driver's license and a philippine passport

amenable to work in subic bay freeport zonewhy planate? planate management group is an affirmative action and equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.

joining the planate team opens you to an experience working for a global company where you are among a team that is considered a premier trusted partner for planning, design, engineering, asset management, and professional service solutions anytime, anywhere. we take care of

our own; personally and professionally, up and down the line.

employees enjoy the following benefits:medical insurance

life insurance with add&dtravel insurancestrict compliance with government-mandated benefitswellness offeringtraining and developmentlicense/certification support

holiday pay

paid time offrewards and recognitionperformance reviewwe’d love for you to be a part of our global workforce, helping us serve as an effective and integrated partner to advance every client's mission!


#j-18808-ljbffr"
Senior Electrical Design Engineer,Arcadis,"Manila, Metro Manila",N/A,"arcadis manila, national capital region, philippinesjoin or sign in to find your next job

join to apply for the senior electrical design engineer role at arcadisarcadis manila, national capital region, philippines2 days ago be among the first 25 applicants

join to apply for the senior electrical design engineer role at arcadisarcadis is the world's leading company delivering sustainable design, engineering, and consultancy solutions for natural and built assets. we are more than 36,000 people, in over 70 countries, dedicated to improving quality of life. everyone has an important role to play.

with the power of many curious minds, together we can solve the world’s most complex challenges and deliver more impact together. role description:responsible for managing technical aspects of smaller and/or less complex tasks or components of larger tasks, meeting financial, quality, timeframe and health and safety objectives

typically assigned to provide a controlling technical role for single discipline on smaller and/or less complex tasks or elements of larger tasks

may undertake a task management role in line with arcadis task manager academy competence requirements

coordinate and manage small teams of single (own) discipline engineers and technicians

work to ensure maximum internal stakeholder satisfaction, championing care and proactively working with internal stakeholders

role accountabilities:perform role in accordance with the arcadis behavioral framework

support the management of performance and behaviors of more junior staff

agree and implement task delivery approach in collaboration with arcadis regional office colleagues

manage selected tasks, taking responsibility for resource allocation and successful delivery

provide management and technical advice to junior project team members

operate at a level consistent with a senior engineering professional

when appointed in the role of a task manager;take responsibility for assisting with the preparation of budgets, monitoring progress, identifying out of scope works and forecasting as appropriate

will be driving task performance, service delivery and technical and commercial outcomes and undertaking reviews, ensuring delivery is above expectationwill be communicating with team members to ensure that they understand, and become engaged with, the delivery strategy, brief and project requirementswill be managing the acquisition, deployment and management of resources for the task to ensure optimal resource allocation

work in collaboration with other design disciplines to ensure the integrity of the overall design

undertake a leading assurance role to quality-assure outputs (e.g. drawings, reports, specifications, etc.) to ensure that they meet or exceed expectations as well as arcadis requirements, and that they comply with national standards and codes of practice

provide support to project management in arcadis regional offices articulating necessary changes to task requirements and assisting with the quantification of the impact on schedule and fee

promote awareness of technical and commercial risk assessments and mitigation together with best value design options

keep up to date with developments in the industry sector and with technical and legislative developments and seek out opportunities to develop a strong professional profil

qualifications & experience:bachelor degree in engineering or equivalent and formally licensed to act as a professional engineer (if required in their arcadis gec country)possess 5-10 years of relevant professional experience

in a task management role, preferable to have assisted an experienced task manager in the role

why arcadis? we can only achieve our goals when everyone is empowered to be their best. we believe everyone's contribution matters.

it’s why we are pioneering a skills-based approach, where you can harness your unique experience and expertise to carve your career path and maximize the impact we can make together. you’ll do meaningful work, and no matter what role, you’ll be helping to deliver sustainable solutions for a more prosperous planet. make your mark, on your career, your colleagues, your clients, your life and the world around you.

together, we can create a lasting legacy. join arcadis. create a legacy.

our commitment to equality, diversity, inclusion & belongingwe want you to be able to bring your best self to work every day, which is why we take equality and inclusion seriously and hold ourselves to account for our actions. our ambition is to be an employer of choice and provide a great place to work for all our people. at arcadis, you will have the opportunity to build the career that is right for you.

because each arcadian has their own motivations, their own career goals. and, as a ‘people ﬁrst’ business, it is why we will take the time to listen, to understand what you want from your time here, and provide the support you need to achieve your ambitions. join arcadis.

create a legacy#joinarcadis#createalegacy#hybridseniority level

seniority level

mid-senior level

employment type

employment type

full-time

job function

job functionotherindustriesprofessional servicesreferrals increase your chances of interviewing at arcadis by 2xget notified about new senior electrical design engineer jobs in manila, national capital region, philippines.quantity surveyor (electrical engineer) - pasigpasig, national capital region, philippines 1 week ago

cost controller - licensed mechanical or electrical engineer

makati, national capital region, philippines 3 months ago

cost controller (licensed mecahanical/electrical engineer)makati, national capital region, philippines 6 months ago

lead electrical design engineer (substation)pasig, national capital region, philippines 9 hours ago

mandaluyong, national capital region, philippines 2 weeks ago

mandaluyong, national capital region, philippines 9 hours ago

electrical engineer - katipunan quezon city (fresh graduate)quezon city, national capital region, philippines 1 month ago

taguig, national capital region, philippines 2 weeks ago

pasig, national capital region, philippines 1 week ago

makati, national capital region, philippines 1 month ago

muntinlupa city, national capital region, philippines 4 months ago

makati, national capital region, philippines 4 months ago

taguig, national capital region, philippines 4 months ago

pasig, national capital region, philippines 6 days ago

pasig, national capital region, philippines 2 weeks ago

mandaluyong, national capital region, philippines 2 weeks ago

pasig, national capital region, philippines 1 month ago

makati, national capital region, philippines 2 months ago

quezon city, national capital region, philippines 1 month ago

sorting center - electrical engineer (cabuyao, laguna) - operations, spx expressmanila, national capital region, philippines 7 hours ago

manila, national capital region, philippines 15 hours ago

taguig, national capital region, philippines 2 months ago

electrical engineer - paranaque (fresh graduate)muntinlupa city, national capital region, philippines 7 months ago

taguig, national capital region, philippines 1 week ago

makati, national capital region, philippines 4 months ago

senior component engineer - electrical (based in philippines)pasig, national capital region, philippines 1 week ago

electrical engineer / santa rosa, lagunaquezon city, national capital region, philippines 3 months ago

makati, national capital region, philippines 1 month ago

manila, national capital region, philippines 6 hours ago

quezon city, national capital region, philippines 4 months ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr"
Electrical Design Engineer,Solenergy Systems Inc.,"Mabalacat, Central Luzon",N/A,"-specialize in the design and development of photovoltaic (pv) systems, substations, and high voltage (hv) infrastructure and its respective field electrical design of new technology such as biogas, ev systems, etc.

-use cad software to create and modify 2d and 3d technical drawings and models.

-collaborate with the engineering team to design, analyze, and optimize photovoltaic (pv) systems, ensuring efficiency, reliability, and compliance with industry standards.

-contribute to the planning and design of low voltage (lv), substations and high voltage (hv) infrastructure for renewable energy projects.

-prepare detailed electrical engineering drawings, specifications, and documentation for pv projects and substation installations.

-prepare bom of materials for use in construction

-alignment with different stakeholders and suppliers for completion of services and equipment

-conduct feasibility studies and provide technical support for project proposals.

-stay updated on industry trends, standards, and regulations related to pv systems, substations, and hv design."
Assistant Electrical Design Engineer - APM,Arcadis,"Manila, Metro Manila",Hybrid,"assistant electrical design engineer - apmarcadis manila, national capital region, philippinesjoin or sign in to find your next job

join to apply for the assistant electrical design engineer - apm role at arcadisassistant electrical design engineer - apmarcadis manila, national capital region, philippinesjoin to apply for the assistant electrical design engineer - apm role at arcadisget ai-powered advice on this job and more exclusive features. arcadis is the world's leading company delivering sustainable design, engineering, and consultancy solutions for natural and built assets. we are more than 36,000 people, in over 70 countries, dedicated to improving quality of life.

everyone has an important role to play. with the power of many curious minds, together we can solve the world’s most complex challenges and deliver more impact together. role description:responsible for managing technical aspects of smaller and/or less complex tasks or components of larger tasks, meeting financial, quality, timeframe and health and safety objectives

typically assigned to provide a controlling technical role for single discipline on smaller and/or less complex tasks or elements of larger tasks

may undertake a task management role in line with arcadis task manager academy competence requirements

coordinate and manage small teams of single (own) discipline engineers and technicians

work to ensure maximum internal stakeholder satisfaction, championing care and proactively working with internal stakeholders

role accountabilities:perform role in accordance with the arcadis behavioral framework

support the management of performance and behaviors of more junior staff

agree and implement task delivery approach in collaboration with arcadis regional office colleagues

manage selected tasks, taking responsibility for resource allocation and successful delivery

provide management and technical advice to junior project team members

operate at a level consistent with a senior engineering professional

when appointed in the role of a task manager;take responsibility for assisting with the preparation of budgets, monitoring progress, identifying out of scope works and forecasting as appropriate

will be driving task performance, service delivery and technical and commercial outcomes and undertaking reviews, ensuring delivery is above expectationwill be communicating with team members to ensure that they understand, and become engaged with, the delivery strategy, brief and project requirementswill be managing the acquisition, deployment and management of resources for the task to ensure optimal resource allocation

work in collaboration with other design disciplines to ensure the integrity of the overall design

undertake a leading assurance role to quality-assure outputs (e.g. drawings, reports, specifications, etc.) to ensure that they meet or exceed expectations as well as arcadis requirements, and that they comply with national standards and codes of practice

provide support to project management in arcadis regional offices articulating necessary changes to task requirements and assisting with the quantification of the impact on schedule and fee

promote awareness of technical and commercial risk assessments and mitigation together with best value design options

keep up to date with developments in the industry sector and with technical and legislative developments and seek out opportunities to develop a strong professional profil

qualifications & experience:bachelor degree in engineering or equivalent and formally licensed to act as a professional engineer (if required in their arcadis gec country)possess 5-10 years of relevant professional experience

in a task management role, preferable to have assisted an experienced task manager in the role

why arcadis? we can only achieve our goals when everyone is empowered to be their best. we believe everyone's contribution matters.

it’s why we are pioneering a skills-based approach, where you can harness your unique experience and expertise to carve your career path and maximize the impact we can make together. you’ll do meaningful work, and no matter what role, you’ll be helping to deliver sustainable solutions for a more prosperous planet. make your mark, on your career, your colleagues, your clients, your life and the world around you.

together, we can create a lasting legacy. join arcadis. create a legacy.

our commitment to equality, diversity, inclusion & belongingwe want you to be able to bring your best self to work every day, which is why we take equality and inclusion seriously and hold ourselves to account for our actions. our ambition is to be an employer of choice and provide a great place to work for all our people. at arcadis, you will have the opportunity to build the career that is right for you.

because each arcadian has their own motivations, their own career goals. and, as a ‘people ﬁrst’ business, it is why we will take the time to listen, to understand what you want from your time here, and provide the support you need to achieve your ambitions. join arcadis.

create a legacy#joinarcadis#createalegacy#hybridseniority level

seniority level

mid-senior level

employment type

employment type

full-time

job function

job functionotherindustriesprofessional servicesreferrals increase your chances of interviewing at arcadis by 2xsign in to set job alerts for “electrical design engineer” roles.pasay, national capital region, philippines 1 week ago

quezon city, national capital region, philippines 2 weeks ago

makati, national capital region, philippines 2 weeks ago

makati, national capital region, philippines 1 week ago

quezon city, national capital region, philippines 1 week ago

mandaluyong, national capital region, philippines 2 weeks ago

manila, national capital region, philippines 2 weeks ago

quezon city, national capital region, philippines 2 weeks ago

muntinlupa city, national capital region, philippines 6 days ago

electrical engineer / santa rosa, lagunamakati, national capital region, philippines 2 weeks ago

manila, national capital region, philippines 2 weeks ago

urgent hiring - site electrical engineerquezon city, national capital region, philippines 1 month ago

manila, national capital region, philippines 4 days ago

quezon city, national capital region, philippines 2 weeks ago

valenzuela, national capital region, philippines 1 month ago

taguig, national capital region, philippines 1 week ago

taguig, national capital region, philippines 2 weeks ago

makati, national capital region, philippines 4 months ago

quezon city, national capital region, philippines 1 week ago

makati, national capital region, philippines 1 week ago

mandaluyong, national capital region, philippines 1 week ago

quezon city, national capital region, philippines 3 weeks ago

national capital region, philippines 5 days ago

taguig, national capital region, philippines 1 month ago

mandaluyong, national capital region, philippines 3 weeks ago

pasig, national capital region, philippines 4 weeks ago

quezon city, national capital region, philippines 3 months ago

pasig, national capital region, philippines 1 week ago

taguig, national capital region, philippines 1 week ago

makati, national capital region, philippines 1 week ago

makati, national capital region, philippines 23 hours ago

pasig, national capital region, philippines 3 weeks ago

sorting center - electrical engineer (calamba, laguna) - operations, spx expressmanila, national capital region, philippines 1 week ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr"
Designer for Electrical Engineer,Arquee Corp,"Pasay City, Metro Manila",Hybrid,"join our electrical engineering team as a designer, creating precise, reliable, and code-compliant designs that power our building projects to success. this is a full-time, onsite role based in moa, pasay.

the role requires a detail-oriented professional with a strong grasp of electrical design standards and an ability to translate engineering concepts into accurate plans and layouts.

key responsibilities

prepare electrical design drawings, layouts, and schematics using cad and related tools

coordinate with electrical engineers for design specifications, load calculations, and compliance with local codes

review and revise designs based on engineering feedback and site requirements

ensure timely delivery of accurate design documents for construction and implementation

qualifications

degree or diploma in electrical engineering, electrical design, or related field

proficiency in autocad and electrical design software

knowledge of philippine electrical code and related standards

strong attention to detail and problem-solving skills"
Electrical Design Engineer,Samsung C&T,"Calamba City, Calabarzon",Hybrid,"(samsung c&t philippines, corp.)hiring project electrical design engineercontract type: project based employment□ company overviewsamsung c&t corporation engineering & construction group(https://www.secc.co.kr/en)is a global leading engineering, procurement and construction company, built on core principles of safety, integrity, trust, authenticity & challenge. we have worked diligently to deliver the best value-added services to our clients by utilizing our top-tier talent and technical expertise in diverse fields such as architecture, civil engineering, plant, housing & green energy businesses. □ samsung c&t philippines, corp.

overviewsamsung c&t philippines corporation is a newly established wholly owned subsidiary of samsung c&t corporation, created to oversee and expand the company’s business operations in the philippines. the company will focus on the same core business areas as its parent company, including engineering, procurement, and construction (epc) across a wide range of infrastructure projects such as buildings, power plants, civil works, and more. in addition to its epc expertise, samsung c&t philippines will actively pursue opportunities in public-private partnerships (ppp) and infrastructure investment ventures.

with the full support and collaboration of samsung c&t corporation’s headquarters, the company is committed to continuously expanding its presence and driving growth in the philippine market. □ location : project site in calamba city, laguna□ job positionsdevelops discipline specific drawings or 3d models using approved software with little to no design direction on layout, sections, and details. perform required checks and reviews

revise drawings if required

receives, understands, and incorporates changes to drawings based on discipline lead mark-ups, edits, comments and/or suggestions. plots and prints drawings as needed and requested by engineers, senior designers, and managers. communicates and coordinates information to/from other engineering disciplines.

creates pdf files of drawings. reports project status to project team and discipline manager as requested. review and manage afc and shop drawings.

manage shop drawing approvals. awareness of local regulations and codes in the country of operation. ability to interpret vendor prints and ensure accurate and up-to-date document control is required.

□ qualification and experienceholder of a relevant license or certification

minimum of 3 years of experience as electrical design engineer in construction projects.basic communication skills in englishstrong sense of responsibility and work ethic.□ preferred skillsresidents of calamba or nearby areas

experience with korean or multinational construction projects

strong leadership and communication skills.ability to influence and engage stakeholders at various levels.high attention to detail and the ability to work in a fast-paced environment.strong problem-solving and decision-making abilities.


#j-18808-ljbffr"
